,sketch,support
0,[S],960
1,[V]nsubj(L),792
2,[V],416
3,[V]nsubj(L)obl(L),372
4,[S]cop(L)nsubj:cop(L),348
5,[V]advmod(L)nsubj(L),280
6,[V]obj(L),264
7,[V]nsubj(L)obj(L),260
8,[V]obl(L),216
9,[X],216
10,[V]obj(L)obl(L),212
11,[V]advmod(L)nsubj(L)obl(L),208
12,[V]nsubj(P),204
13,[V]nsubj(L)obj(L)obl(L),180
14,[V]nsubj(L)obj(P),176
15,[V]nsubj(P)obl(L),172
16,[V]advmod(L),168
17,[S]cop(L)nsubj:cop(P),168
18,[V]advmod(L)nsubj(L)obj(L),164
19,[S]cop(L)nsubj:cop(L)obl(L),156
20,[S]nmod(L),148
21,[V]nsubj(L)obl(P),148
22,[S]advmod(L)cop(L)nsubj:cop(L),140
23,[V]nsubj(L)obl(L)obl(L),140
24,[V]nsubj(L)xcomp(L),132
25,[S]flat(L),132
26,[S]amod(L)cop(L)nsubj:cop(L),124
27,[V]aux(L)obj(L)obl(L),120
28,[V]aux(L)nsubj(L),120
29,[V]aux(L)nsubj(L)obj(L),116
30,[V]obj(P),112
31,[V]nsubj(P)obj(L),112
32,[S]conj(P)parataxis(L),112
33,[S]parataxis(L)punct(L),108
34,[V]advmod(L)obj(L),104
35,[S]advmod(L),104
36,[S]cop(L)nsubj:cop(P)obl(L),100
37,[V]advmod(L)aux(L),100
38,[V]nsubj(L)obl(L)obl(P),100
39,[S]nummod(L),96
40,[V]obj(P)obl(L),96
41,[V]advmod(L)obj(P),96
42,[V]nsubj(L)xcomp(P),96
43,[S]amod(L),88
44,[S]advmod(L)cop(L)nsubj:cop(L)obl(L),84
45,[S]cop(L)nmod(L)nsubj:cop(L),84
46,[V]aux(L),84
47,[S]advmod(L)advmod(L)cop(L)nsubj:cop(L),84
48,[V]aux(L)obj(L),80
49,[V]aux(L)obj(L)obl(P),80
