item	total	percentage
0  alluvat	10789973	35.87212297539758
4  alluvat	4710449	15.660262152401916
5  alluvat	3867515	12.857861061301524
3  alluvat	3711901	12.340509947939744
6  alluvat	2199131	7.311185826971861
2  alluvat	1844056	6.13071076317983
1  alluvat	1255352	4.173517516810404
7  alluvat	998455	3.3194430185692396
8  alluvat	422005	1.402989169317908
9  alluvat	177984	0.5917219566400364
10  alluvat	69294	0.23037341144942622
11  alluvat	23284	0.07740950893567178
12  alluvat	6816	0.022660333830335805
13  alluvat	1775	0.005901128601649949
14  alluvat	482	0.0016024473160536764
15  alluvat	171	0.0005685030934547274
16  alluvat	62	0.00020612392862101229
18  alluvat	40	0.0001329831797554918
17  alluvat	40	0.0001329831797554918
19  alluvat	31	0.00010306196431050614
20  alluvat	22	7.314074886552049e-05
22  alluvat	15	4.9868692408309424e-05
21  alluvat	13	4.3219533420534835e-05
28  alluvat	11	3.6570374432760246e-05
29  alluvat	10	3.324579493887295e-05
24  alluvat	10	3.324579493887295e-05
30  alluvat	9	2.9921215444985657e-05
27  alluvat	9	2.9921215444985657e-05
23  alluvat	9	2.9921215444985657e-05
33  alluvat	7	2.3272056457211065e-05
25  alluvat	7	2.3272056457211065e-05
35  alluvat	5	1.6622897469436476e-05
31  alluvat	5	1.6622897469436476e-05
26  alluvat	5	1.6622897469436476e-05
40  alluvat	4	1.329831797554918e-05
36  alluvat	4	1.329831797554918e-05
34  alluvat	4	1.329831797554918e-05
32  alluvat	4	1.329831797554918e-05
46  alluvat	2	6.64915898777459e-06
41  alluvat	2	6.64915898777459e-06
39  alluvat	2	6.64915898777459e-06
281  alluvat	1	3.324579493887295e-06
238  alluvat	1	3.324579493887295e-06
234  alluvat	1	3.324579493887295e-06
118  alluvat	1	3.324579493887295e-06
107  alluvat	1	3.324579493887295e-06
74  alluvat	1	3.324579493887295e-06
72  alluvat	1	3.324579493887295e-06
68  alluvat	1	3.324579493887295e-06
65  alluvat	1	3.324579493887295e-06
58  alluvat	1	3.324579493887295e-06
57  alluvat	1	3.324579493887295e-06
52  alluvat	1	3.324579493887295e-06
49  alluvat	1	3.324579493887295e-06
47  alluvat	1	3.324579493887295e-06
45  alluvat	1	3.324579493887295e-06
43  alluvat	1	3.324579493887295e-06
42  alluvat	1	3.324579493887295e-06
