verb,verb_compound,morph_case,ex_count,loc_count,actor_count,time_count,event_count,unk_count,label_count,labels,loc_percent,actor_percent,time_percent,event_percent,unk_percent
abielluma,,in,14,9,0,4,0,1,3,"('UNK', 'loc', 'time')",64.28571428571429,0.0,28.57142857142857,0.0,7.142857142857142
aeguma,,in,3,0,0,0,0,3,1,"('UNK',)",0.0,0.0,0.0,0.0,100.0
aitama,,in,19,17,0,0,1,1,3,"('UNK', 'event', 'loc')",89.47368421052632,0.0,0.0,5.263157894736842,5.263157894736842
ajama,,all,35,21,7,0,0,7,3,"('UNK', 'actor', 'loc')",60.0,20.0,0.0,0.0,20.0
ajama,,el,26,10,4,0,0,12,3,"('UNK', 'actor', 'loc')",38.46153846153847,15.384615384615385,0.0,0.0,46.15384615384615
alanema,,in,9,8,0,0,0,1,2,"('UNK', 'loc')",88.88888888888889,0.0,0.0,0.0,11.11111111111111
algama,,el,27,18,1,2,2,4,5,"('UNK', 'actor', 'event', 'loc', 'time')",66.66666666666666,3.7037037037037033,7.4074074074074066,7.4074074074074066,14.814814814814813
algatama,,all,3,1,0,0,0,2,2,"('UNK', 'loc')",33.33333333333333,0.0,0.0,0.0,66.66666666666666
alistama,,in,23,20,1,0,1,1,4,"('UNK', 'actor', 'event', 'loc')",86.95652173913044,4.3478260869565215,0.0,4.3478260869565215,4.3478260869565215
alistuma,,all,15,5,3,0,1,6,4,"('UNK', 'actor', 'event', 'loc')",33.33333333333333,20.0,0.0,6.666666666666667,40.0
alistuma,,in,8,6,0,0,1,1,3,"('UNK', 'event', 'loc')",75.0,0.0,0.0,12.5,12.5
alluma,,all,35,14,8,0,1,12,4,"('UNK', 'actor', 'event', 'loc')",40.0,22.857142857142858,0.0,2.857142857142857,34.285714285714285
alustama,,all,24,16,1,0,1,6,4,"('UNK', 'actor', 'event', 'loc')",66.66666666666666,4.166666666666666,0.0,4.166666666666666,25.0
alustama,,el,25,19,0,0,1,5,3,"('UNK', 'event', 'loc')",76.0,0.0,0.0,4.0,20.0
ammutama,,el,23,23,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
andma,,adit,28,17,1,0,0,10,3,"('UNK', 'actor', 'loc')",60.71428571428571,3.571428571428571,0.0,0.0,35.714285714285715
andma,ette,all,23,14,2,0,0,7,3,"('UNK', 'actor', 'loc')",60.86956521739131,8.695652173913043,0.0,0.0,30.434782608695656
andma,välja,all,16,11,4,0,0,1,3,"('UNK', 'actor', 'loc')",68.75,25.0,0.0,0.0,6.25
andma,üle,all,29,19,8,0,0,2,3,"('UNK', 'actor', 'loc')",65.51724137931035,27.586206896551722,0.0,0.0,6.896551724137931
annetama,,all,27,19,4,0,0,4,3,"('UNK', 'actor', 'loc')",70.37037037037037,14.814814814814813,0.0,0.0,14.814814814814813
arendama,,ad,5,3,0,0,0,2,2,"('UNK', 'loc')",60.0,0.0,0.0,0.0,40.0
arutama,,all,15,13,1,0,0,1,3,"('UNK', 'actor', 'loc')",86.66666666666667,6.666666666666667,0.0,0.0,6.666666666666667
asendama,,in,16,15,0,0,0,1,2,"('UNK', 'loc')",93.75,0.0,0.0,0.0,6.25
astuma,,el,23,9,8,1,0,5,4,"('UNK', 'actor', 'loc', 'time')",39.130434782608695,34.78260869565217,4.3478260869565215,0.0,21.73913043478261
astuma,,ill,30,29,0,0,0,1,2,"('UNK', 'loc')",96.66666666666667,0.0,0.0,0.0,3.3333333333333335
astuma,tagasi,el,4,4,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
astuma,välja,el,24,24,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
astuma,üles,el,5,2,2,0,0,1,3,"('UNK', 'actor', 'loc')",40.0,40.0,0.0,0.0,20.0
asuma,,ad,19,12,2,3,0,2,4,"('UNK', 'actor', 'loc', 'time')",63.1578947368421,10.526315789473683,15.789473684210526,0.0,10.526315789473683
asuma,,adit,27,24,1,0,0,2,3,"('UNK', 'actor', 'loc')",88.88888888888889,3.7037037037037033,0.0,0.0,7.4074074074074066
asuma,,all,31,24,2,0,5,0,3,"('actor', 'event', 'loc')",77.41935483870968,6.451612903225806,0.0,16.129032258064516,0.0
asutama,,el,5,2,2,0,0,1,3,"('UNK', 'actor', 'loc')",40.0,40.0,0.0,0.0,20.0
avaldama,,in,35,34,0,0,0,1,2,"('UNK', 'loc')",97.14285714285714,0.0,0.0,0.0,2.857142857142857
avanema,,all,31,24,5,0,1,1,4,"('UNK', 'actor', 'event', 'loc')",77.41935483870968,16.129032258064516,0.0,3.225806451612903,3.225806451612903
edastama,,all,28,21,5,0,0,2,3,"('UNK', 'actor', 'loc')",75.0,17.857142857142858,0.0,0.0,7.142857142857142
edestama,,in,19,18,0,0,1,0,2,"('event', 'loc')",94.73684210526315,0.0,0.0,5.263157894736842,0.0
eelistama,,all,27,15,1,0,0,11,3,"('UNK', 'actor', 'loc')",55.55555555555556,3.7037037037037033,0.0,0.0,40.74074074074074
eemaldama,,el,16,16,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
eemalduma,,el,19,15,0,0,0,4,2,"('UNK', 'loc')",78.94736842105263,0.0,0.0,0.0,21.052631578947366
