deprel,ext_case,total,occurences
nsubj,nom,1,12591593
advmod,,1,4609136
obj,part,1,3918276
aux,,1,2733148
obl,ad,1,1991077
case,,1,1931915
obl,gen,1,1687064
obl,in,1,1648230
obj,gen,1,1645305
compound:prt,,1,1560837
advcl,,1,1520637
obl,all,1,1489098
obl,el,1,1174603
xcomp,,1,1149068
obl,kom,1,956744
ccomp,,1,944477
advmod,,2,778799
nsubj,part,1,771530
obj,nom,1,743189
xcomp,tr,1,676858
obl,part,1,630377
csubj,,1,572462
xcomp,ill,1,548744
obl,adit,1,415095
obl,tr,1,354318
nsubj,gen,1,322800
obl,nom,1,316271
obl,ill,1,292779
nsubj,nom,2,272214
obl,,1,268487
nsubj,,1,246978
ccomp,nom,1,234081
obl,abl,1,221466
advcl,nom,1,216010
obl,es,1,197347
obj,adit,1,156901
obl,ad,2,143877
xcomp,in,1,139154
obl,term,1,131162
case,,2,113069
obj,,1,96396
advmod,,3,87952
obl,gen,2,82025
obl,in,2,81496
aux,,2,75097
obj,part,2,67633
advcl,abes,1,65493
advmod,nom,1,55281
obj,gen,2,50587
advcl,,2,46733
ccomp,ad,1,45089
obl,abes,1,43948
xcomp,nom,1,40382
advcl,ad,1,38343
advmod,tr,1,37988
advcl,in,1,34872
ccomp,ill,1,33748
ccomp,in,1,30282
obl,part,2,30210
advcl,ill,1,27450
obl,all,2,26779
nsubj:cop,nom,1,26457
xcomp,el,1,23072
obl,el,2,22891
csubj,nom,1,21802
xcomp,es,1,20953
advcl,tr,1,20655
advcl,part,1,18237
obj,nom,2,14007
ccomp,gen,1,13915
ccomp,kom,1,13701
advcl,gen,1,12912
nsubj,part,2,12293
nsubj,adit,1,11809
ccomp,tr,1,11005
compound:prt,,2,10660
ccomp,part,1,10250
advcl,kom,1,10010
obl,kom,2,9245
nmod,gen,1,7890
obl,ad,3,7853
obl,,2,7409
advmod,,4,6998
ccomp,,2,6724
advmod,in,1,6350
xcomp,tr,2,5524
case,,3,5212
advmod,abl,1,5120
case,ad,1,4728
obl,nom,2,4445
csubj,ad,1,4032
advcl,el,1,4027
nsubj,nom,3,3526
obl,tr,2,3479
obl,in,3,3468
obl,gen,3,3288
compound:prt,ad,1,3149
obl,abl,2,3065
aux,ill,1,3006
csubj,in,1,2955
xcomp,,2,2912
csubj,,2,2879
nsubj,gen,2,2826
amod,nom,1,2807
nmod,nom,1,2768
obl,adit,2,2642
ccomp,el,1,2578
nmod,,1,2503
nsubj,,2,2471
csubj,ill,1,2414
nsubj,in,1,2299
nummod,,1,2254
case,el,1,2223
obl,ill,2,2116
csubj,kom,1,1928
amod,part,1,1848
acl,,1,1737
aux,nom,1,1545
xcomp,gen,1,1542
xcomp,part,1,1513
det,nom,1,1511
aux,,3,1453
advcl,all,1,1445
obl,es,2,1390
csubj,gen,1,1376
advcl,nom,2,1283
ccomp,nom,2,1181
amod,,1,1160
acl:relcl,,1,1159
amod,gen,1,1092
obj,,2,1080
ccomp,all,1,1004
case,in,1,981
flat,nom,1,976
compound:prt,part,1,966
advcl,,3,939
advcl,adit,1,935
csubj,tr,1,931
csubj,part,1,852
ccomp,abes,1,827
acl,nom,1,810
obj,gen,3,779
xcomp,ill,2,755
flat,,1,752
obl,part,3,744
nsubj:cop,part,1,703
nmod,in,1,687
case,adit,1,664
advmod,gen,1,617
obl,term,2,594
appos,nom,1,562
det,part,1,526
advcl,es,1,508
advcl,abl,1,504
advmod,el,1,493
amod,in,1,492
advmod,,5,483
