deprel,total,occurences
nsubj,1,13722953
obl,1,6618977
obj,1,6207811
advmod,1,4657895
aux,1,2730736
xcomp,1,2558699
obl,2,2111458
case,1,1938776
advcl,1,1900693
compound:prt,1,1565841
ccomp,1,1319003
advmod,2,800266
csubj,1,606088
obl,3,468217
nsubj,2,397993
obj,2,302821
case,2,114225
advmod,3,92055
obl,4,89034
advcl,2,82183
aux,2,78355
xcomp,2,30792
nsubj:cop,1,27386
ccomp,2,18763
obl,5,16922
nmod,1,13860
compound:prt,2,10702
amod,1,7630
advmod,4,7479
nsubj,3,6469
obj,3,6167
case,3,5302
csubj,2,4489
obl,6,3407
acl,1,3200
nummod,1,2972
det,1,2507
advcl,3,2366
flat,1,1773
aux,3,1633
acl:relcl,1,1346
nmod,2,1195
appos,1,821
obl,7,694
advmod,5,531
ccomp,3,383
amod,2,296
case,4,234
xcomp,3,204
csubj:cop,1,196
obl,8,165
nsubj:cop,2,162
nmod,3,142
flat,2,135
obj,4,118
flat:foreign,1,106
compound:prt,3,105
nsubj,4,84
nummod,2,82
advcl,4,75
aux,4,70
acl,2,58
advmod,6,55
csubj,3,48
obl,9,39
flat,3,20
ccomp,4,19
orphan,1,18
amod,3,15
flat:foreign,2,15
det,2,15
fixed,1,14
case,5,13
compound,1,12
obl,10,11
nsubj,5,10
aux,5,7
root,1,7
flat:foreign,3,7
nmod,4,6
flat,4,5
flat,8,5
flat,5,5
compound:prt,4,4
advmod,7,4
flat:foreign,5,3
flat,7,3
nsubj:cop,3,3
root,2,3
advcl,5,3
acl:relcl,2,3
orphan,2,2
appos,2,2
flat,12,2
obj,5,2
case,7,2
aux,6,2
flat,10,1
csubj:cop,2,1
root,13,1
root,10,1
root,4,1
root,3,1
flat:foreign,4,1
flat,9,1
case,6,1
flat,14,1
obl,11,1
csubj,4,1
aux,68,1
aux,9,1
flat,6,1
nummod,3,1
aux,7,1
advmod,8,1
nsubj,8,1
