verb,verb_compound,ei_saa_olla_sihitist,kahtlane,total,freq_nom,freq_gen,freq_par
saama,,,,40990,9432,18457,13101
tegema,,,,35625,9269,14334,12022
võtma,,,,22435,6264,9533,6638
andma,,,,20039,4949,8880,6210
panema,,,,19030,6798,7371,4861
pidama,,,,18648,2031,3879,12738
nägema,,,,16379,2212,2060,12107
tooma,,,,16017,4092,7210,4715
leidma,,,,15837,2986,6348,6503
kasutama,,,,14268,1818,1919,10531
pakkuma,,,,11447,1313,2167,7967
tähendama,,,,10996,1312,1169,8515
jätma,,,,10519,3403,4633,2483
tahtma,,,,10482,2232,1972,6278
viima,,,,10274,2833,4796,2645
saatma,,,,10066,2679,3662,3725
vaatama,,,,10054,2202,1969,5883
ostma,,,,9950,2482,4047,3421
vajama,,,,9805,628,915,8262
teadma,,,,9727,2855,1609,5263
näitama,,,,9542,926,1309,7307
ootama,,,,9507,1144,1051,7312
nimetama,,,,9484,1607,2145,5732
meenutama,,,,8844,868,947,7029
muutma,,,,8543,1922,3855,2766
valima,,,,8539,2504,4186,1849
võitma,,,,8512,2390,4119,2003
puudutama,,,,8324,556,831,6937
nõudma,,,,7984,558,975,6451
esitama,,,,7907,1930,3390,2587
korraldama,,,,7635,1158,3544,2933
lõpetama,,,,7461,1800,4430,1231
kaotama,,,,7459,1990,3835,1634
toetama,,,,7433,926,1014,5493
alustama,,,,7309,855,1774,4680
tundma,,,,7260,1009,1069,5182
sisaldama,,,,7172,482,1062,5628
otsima,,,,7105,1170,1279,4656
looma,,,,6817,1401,3118,2298
mängima,,,,6621,1668,1566,3387
kandma,,,,6551,1365,1466,3720
ütlema,,,,6330,2499,1955,1876
hoidma,,,,6271,1281,1481,3509
tekitama,,,,6123,790,2336,2997
kirjutama,,,,6085,1908,2268,1909
lugema,,,,5972,1439,1367,3166
tabama,,,,5942,1086,1354,3502
juhtima,,,,5811,1039,1383,3389
hindama,,,,5655,538,1072,4045
avama,,,,5645,1320,3187,1138
kutsuma,,,,5531,1697,1698,2136
kinnitama,,,,5413,1145,1789,2479
moodustama,,,,5301,985,3023,1293
ajama,,,,5236,1688,1814,1734
müüma,,,,5103,990,1363,2750
lubama,,,,5042,761,1041,3240
soovima,,,,5001,566,672,3763
eelistama,,,,4983,442,421,4120
käsitlema,,,,4894,241,591,4062
tooma,kaasa,,,4871,848,2324,1699
kuulma,,,,4855,1633,683,2539
lisama,,,,4851,1029,1582,2240
tõstma,,,,4792,984,2110,1698
määrama,,,,4783,1322,2394,1067
avastama,,,,4778,990,2300,1488
mõjutama,,,,4734,372,511,3851
mõtlema,,,,4692,1069,944,2679
põhjustama,,,,4692,586,2000,2106
lööma,,,,4671,1151,1975,1545
laskma,,,,4642,1255,1747,1640
kiitma,,,,4604,577,1009,3018
tunnistama,,,,4525,758,1392,2375
rääkima,,,,4522,1614,1414,1494
jagama,,,,4502,922,1003,2577
kujutama,,,,4409,301,466,3642
uurima,,,,4349,389,512,3448
tõmbama,,,,4302,1305,1657,1340
