pat_id,verb_word,verb_compound,phrase_case,adp,inf_verb,verb_occurrence_count,absolute_support,relative_support
50,andma,andeks,all,,,7,7,100
52,paluma,andeks,abl,,,3,3,100
214,luiskama,ette,all,,,1,1,100
874,mängima,kätte,all,,,4,4,100
927,harjutama,külge,all,,,1,1,100
1010,liidendama,,kom,,,1,1,100
1648,sarnlema,,all,,,2,2,100
2042,tegema,tuupi,all,,,10,10,100
1813,tegema,säru,all,,,38,37,97.36842105263158
2054,valguma,täis,part,,,63,61,96.82539682539682
893,olema,kõrini,ad,,,28,27,96.42857142857143
1281,nõudlema,,part,,,26,25,96.15384615384616
2306,nägema,välja,nom,,,11974,11437,95.5152831134124
1669,seisnema,,in,,,9542,9101,95.37832739467616
368,jätma,ilma,el,,,696,654,93.96551724137932
2486,valama,üle,kom,,,331,310,93.65558912386706
974,ütlema,lahti,el,,,523,488,93.30783938814533
1341,osutuma,,tr,,,22121,20627,93.24623660774829
1531,põhinema,,ad,,,9626,8937,92.84230209848327
2464,kallama,üle,kom,,,96,89,92.70833333333334
2335,võbistama,,part,,,26,24,92.3076923076923
1825,sõltuma,,el,,,33713,31082,92.1958888262688
758,koosnema,,el,,,15701,14447,92.01324756384943
1359,pakatama,,el,,,561,516,91.97860962566845
1537,põlvnema,,el,,,161,148,91.92546583850931
1772,soodustama,,part,,,4994,4581,91.73007609130957
784,kubisema,,el,,,1054,966,91.65085388994308
2334,väärima,,part,,,9949,9051,90.97396723288773
131,distantseerima,,el,,,144,131,90.97222222222221
538,tungima,kallale,all,,,1169,1059,90.59024807527801
2450,pidama,ülal,part,,,159,144,90.56603773584906
2202,seisma,vastu,all,,,528,477,90.3409090909091
2154,vajama,,part,,,55652,50148,90.10996909365342
1745,jootma,sisse,all,,,30,27,90
218,teavitama,ette,part,,,29,26,89.65517241379311
161,eirama,,part,,,1864,1669,89.53862660944206
801,kuritarvitama,,part,,,870,778,89.42528735632183
500,kaasnema,,kom,,,9566,8550,89.37905080493415
2453,aitama,üle,el,,,131,117,89.31297709923665
471,järgima,,part,,,4694,4189,89.24158500213038
1206,vaatama,mööda,el,,,325,290,89.23076923076924
314,hoolitsema,,gen,eest,,5121,4565,89.14274555750829
1070,lähtuma,,el,,,11556,10286,89.01003807545862
1872,ajama,taga,part,,,1587,1411,88.90989287964713
1463,pooldama,,part,,,7570,6727,88.86393659180978
369,jääma,ilma,el,,,6035,5358,88.7821043910522
308,hoiduma,,el,,,2493,2211,88.68832731648617
1344,vaatama,otsa,all,,,2266,2007,88.57016769638129
2326,väljendama,,part,,,9399,8296,88.26470901159698
1777,soosima,,part,,,3232,2851,88.21163366336634
636,haarama,kinni,el,,,1150,1014,88.17391304347825
245,hakkama,,ill,,,235159,207336,88.16843072134174
522,kahjustama,,part,,,5451,4802,88.09392771968446
1571,rahulduma,,kom,,,386,340,88.08290155440415
36,alluma,,all,,,4398,3862,87.81264211005002
2457,hindama,üle,part,,,377,331,87.79840848806366
2328,vältima,,part,,,3803,3337,87.7465159084933
1899,talitsema,,part,,,121,106,87.60330578512396
1934,tegelema,,kom,,,40063,35084,87.57207398347603
854,käsitlema,,part,,,18385,16091,87.52243676910525
423,johtuma,,el,,,673,589,87.518573551263
1198,hiilima,mööda,el,,,95,83,87.36842105263159
902,hiilima,kõrvale,el,,,243,212,87.24279835390946
2014,tulenema,,el,,,13928,12147,87.21280873061458
1343,sõitma,otsa,all,,,2802,2438,87.00927908636689
2491,ülehindama,,part,,,130,113,86.92307692307692
1498,puudutama,,part,,,32839,28517,86.83881969609305
852,käsitama,,part,,,544,472,86.76470588235294
714,määrima,kokku,kom,,,105,91,86.66666666666667
2253,olema,villand,ad,,,15,13,86.66666666666667
432,juhinduma,,el,,,890,771,86.62921348314607
498,käima,kaasas,kom,,,1867,1615,86.50241028387788
1402,peegeldama,,part,,,3659,3159,86.33506422519814
988,lasuma,,ad,,,2860,2469,86.32867132867132
906,hoiduma,kõrvale,el,,,131,113,86.25954198473282
1275,nõretama,,el,,,109,94,86.23853211009175
604,keskenduma,,all,,,8364,7209,86.19081779053084
