pat_id,pattern,verb_word,verb_compound,phrase_nr,phrase_case,adp,inf_verb
1,aasima keda*,aasima,,1,part,,
2,aasima kelle kallal,aasima,,1,gen,kallal,
3,abielluma kellega,abielluma,,1,kom,,
4,abikätt ulatama kellele,ulatama,abikätt,1,all,,
5,abstraheeruma millest/kellest,abstraheeruma,,1,el,,
6,adresseerima mida*,adresseerima,,1,part,,
7,adresseerima kellele,adresseerima,,1,all,,
8,aevastama mille peale,aevastama,,1,gen,peale,
9,agiteerima keda*,agiteerima,,1,part,,
10,ahistama keda*,ahistama,,1,part,,
11,ahvima keda*,ahvima,,1,part,,
12,aimu saama millest,saama,aimu,1,el,,
13,aitama mida teha,aitama,,1,part,,teha
14,aitama millest,aitama,,1,el,,
15,aitama keda/mida*,aitama,,1,part,,
16,ajama kuhu,ajama,,1,all,,
17,ajendama mida tegema,ajendama,,1,part,,tegema
18,ajenduma millest,,ajenduma,1,el,,
19,ajudele käima kellele,käima,ajudele,1,all,,
20,akrediteerima keda/mida,akrediteerima,,1,part,,
21,alahindama keda/mida*,alahindama,,1,part,,
22,alandama mida*,alandama,,1,part,,
23,alanduma kelle ees,alanduma,,1,gen,ees,
24,alanduma mida tegema,alanduma,,1,part,,tegema
25,algama millest,algama,,1,el,,
26,algama millega,algama,,1,kom,,
27,algust tegema millega,tegema,algust,1,kom,,
28,alla hüppama millest,hüppama,alla,1,el,,
29,alla jääma kellele/millele,jääma,alla,1,all,,
30,alla kirjutama millele,kirjutama,alla,1,all,,
31,alla minema kellel,minema,alla,1,ad,,
32,alla neelama mida,neelama,alla,1,part,,
33,alla vaatama kelle peale,vaatama,alla,1,gen,peale,
34,alla vajutama mida,vajutama,alla,1,part,,
35,alla vanduma kellele/millele,vanduma,alla,1,all,,
36,alluma kellele/millele,alluma,,1,all,,
37,alt kelle/mille,,alt,1,gen,,
38,alt lendama millega,lendama,alt,1,kom,,
39,alt minema millega,minema,alt,1,kom,,
42,alusel mille,,alusel,1,gen,,
43,alust panema millele,panema,alust,1,all,,
44,alustama millest,alustama,,1,el,,
45,alustama millega,alustama,,1,kom,,
46,alustama mida*,alustama,,1,part,,
47,amelema kellega,amelema,,1,kom,,
49,analüüsima mida*,analüüsima,,1,part,,
50,andeks andma kellele,andma,andeks,1,all,,
51,andeks paluma kellelt / kelle käest,paluma,andeks,1,gen,käest,
52,andeks paluma kellelt / kelle käest,paluma,andeks,1,abl,,
53,andestama kellele,andestama,,1,all,,
54,andma milleks / mida teha,andma,,1,tr,,
55,andma milleks / mida teha,andma,,1,part,,teha
56,anduma kellele,anduma,,1,all,,
57,annekteerima mida,annekteerima,,1,part,,
58,antitsipeerima mida,,antitsipeerima,1,part,,
59,apelleerima mida,apelleerima,,1,part,,
60,apelleerima millele,apelleerima,,1,all,,
61,arendama mida*,arendama,,1,part,,
62,armastama keda/mida*,armastama,,1,part,,
63,armastama mida teha,armastama,,1,part,,teha
64,armu andma kellele,andma,armu,1,all,,
65,armu heitma kellele/millele,heitma,armu,1,all,,
66,armuma kellesse/millesse,armuma,,1,ill,,
67,arranžeerima millele,arranžeerima,,1,all,,
68,aru andma millest / mille kohta,andma,aru,1,gen,kohta,
69,aru andma millest / mille kohta,andma,aru,1,el,,
72,aru pärima kellelt,pärima,aru,1,abl,,
73,aru saama kellest/millest,saama,aru,1,el,,
74,arutama kellega,arutama,,1,kom,,
75,arutama mida*,arutama,,1,part,,
76,arutlema mida*,arutlema,,1,part,,
77,arutlema mille üle,arutlema,,1,gen,üle,
79,arvama kellest/millest,arvama,,1,el,,
80,arveid klaarima kellega,klaarima,arveid,1,kom,,
81,arveid õiendama kellega,õiendama,arveid,1,kom,,
82,arvestama millega,arvestama,,1,kom,,
83,arvestama mida*,arvestama,,1,part,,
84,arvustama keda/mida*,arvustama,,1,part,,
85,asendama millega,asendama,,1,kom,,
86,asendama keda/mida*,asendama,,1,part,,
87,asenduma millega,asenduma,,1,kom,,
88,aset andma millele,andma,aset,1,all,,
89,aset täitma mille/kelle,täitma,aset,1,gen,,
90,aset võtma kus,võtma,aset,1,ad,,
91,asetama kuhu,asetama,,1,all,,
92,asja tegema kuhu,tegema,asja,1,all,,
93,assotsieeruma millega/kellega,assotsieeruma,,1,kom,,
94,astuma kuhu,astuma,,1,all,,
95,asuma kus,asuma,,1,ad,,
