,word,government,verb_word,compound_prt1,compound_prt2,compound_prt3,government_with_case,case,adp,verb,other
0,aasima,keda*,aasima,,,,part,part,,,
1,aasima,kelle kallal,aasima,,,,gen kallal,gen,kallal,,
2,abielluma,kellega,abielluma,,,,kom,kom,,,
3,abikätt ulatama,kellele,ulatama,abikätt,,,all,all,,,
4,abstraheeruma,millest/kellest,abstraheeruma,,,,el,el,,,
5,adresseerima,mida*,adresseerima,,,,part,part,,,
6,adresseerima,kellele,adresseerima,,,,all,all,,,
7,aevastama,mille peale,aevastama,,,,gen peale,gen,peale,,
8,agiteerima,keda*,agiteerima,,,,part,part,,,
9,ahistama,keda*,ahistama,,,,part,part,,,
10,ahvima,keda*,ahvima,,,,part,part,,,
11,aimu saama,millest,saama,aimu,,,el,el,,,
12,aitama,mida teha,aitama,,,,part teha,part,,teha,
13,aitama,millest,aitama,,,,el,el,,,
14,aitama,keda/mida*,aitama,,,,part,part,,,
15,ajama,kuhu,ajama,,,,all,all,,,
16,ajendama,mida tegema,ajendama,,,,part tegema,part,,tegema,
17,ajenduma,millest,,ajenduma,,,el,el,,,
18,ajudele käima,kellele,käima,ajudele,,,all,all,,,
19,akrediteerima,keda/mida,akrediteerima,,,,part,part,,,
20,alahindama,keda/mida*,alahindama,,,,part,part,,,
21,alandama,mida*,alandama,,,,part,part,,,
22,alanduma,kelle ees,alanduma,,,,gen ees,gen,ees,,
23,alanduma,mida tegema,alanduma,,,,part tegema,part,,tegema,
24,algama,millest,algama,,,,el,el,,,
25,algama,millega,algama,,,,kom,kom,,,
26,algust tegema,millega,tegema,algust,,,kom,kom,,,
27,alla hüppama,millest,hüppama,alla,,,el,el,,,
28,alla jääma,kellele/millele,jääma,alla,,,all,all,,,
29,alla kirjutama,millele,kirjutama,alla,,,all,all,,,
30,alla minema,kellel,minema,alla,,,ad,ad,,,
31,alla neelama,mida,neelama,alla,,,part,part,,,
32,alla vaatama,kelle peale,vaatama,alla,,,gen peale,gen,peale,,
33,alla vajutama,mida,vajutama,alla,,,part,part,,,
34,alla vanduma,kellele/millele,vanduma,alla,,,all,all,,,
35,alluma,kellele/millele,alluma,,,,all,all,,,
36,alt,kelle/mille,,alt,,,gen,gen,,,
37,alt lendama,millega,lendama,alt,,,kom,kom,,,
38,alt minema,millega,minema,alt,,,kom,kom,,,
39,alt üles vaatama,kellele,vaatama,alt,üles,,all,all,,,
40,altari ette viima,keda,viima,altari,ette,,part,part,,,
41,alusel,mille,,alusel,,,gen,gen,,,
42,alust panema,millele,panema,alust,,,all,all,,,
43,alustama,millest,alustama,,,,el,el,,,
44,alustama,millega,alustama,,,,kom,kom,,,
45,alustama,mida*,alustama,,,,part,part,,,
46,amelema,kellega,amelema,,,,kom,kom,,,
47,ametlikku käiku andma,millele,andma,ametlikku,käiku,,all,all,,,
48,analüüsima,mida*,analüüsima,,,,part,part,,,
49,andeks andma,kellele,andma,andeks,,,all,all,,,
50,andeks paluma,kellelt / kelle käest,paluma,andeks,,,gen käest,gen,käest,,
51,andeks paluma,kellelt / kelle käest,paluma,andeks,,,abl,abl,,,
52,andestama,kellele,andestama,,,,all,all,,,
53,andma,milleks / mida teha,andma,,,,tr,tr,,,
54,andma,milleks / mida teha,andma,,,,part teha,part,,teha,
55,anduma,kellele,anduma,,,,all,all,,,
56,annekteerima,mida,annekteerima,,,,part,part,,,
57,antitsipeerima,mida,,antitsipeerima,,,part,part,,,
58,apelleerima,mida,apelleerima,,,,part,part,,,
59,apelleerima,millele,apelleerima,,,,all,all,,,
60,arendama,mida*,arendama,,,,part,part,,,
61,armastama,keda/mida*,armastama,,,,part,part,,,
62,armastama,mida teha,armastama,,,,part teha,part,,teha,
63,armu andma,kellele,andma,armu,,,all,all,,,
64,armu heitma,kellele/millele,heitma,armu,,,all,all,,,
65,armuma,kellesse/millesse,armuma,,,,ill,ill,,,
66,arranžeerima,millele,arranžeerima,,,,all,all,,,
67,aru andma,millest / mille kohta,andma,aru,,,gen kohta,gen,kohta,,
68,aru andma,millest / mille kohta,andma,aru,,,el,el,,,
69,aru peast võtma,kellel,võtma,aru,peast,,ad,ad,,,
70,aru pähe panema,kellele,panema,aru,pähe,,all,all,,,
71,aru pärima,kellelt,pärima,aru,,,abl,abl,,,
72,aru saama,kellest/millest,saama,aru,,,el,el,,,
73,arutama,kellega,arutama,,,,kom,kom,,,
74,arutama,mida*,arutama,,,,part,part,,,
75,arutlema,mida*,arutlema,,,,part,part,,,
76,arutlema,mille üle,arutlema,,,,gen üle,gen,üle,,
77,arvama,et,arvama,,,,et,,,,et
78,arvama,kellest/millest,arvama,,,,el,el,,,
79,arveid klaarima,kellega,klaarima,arveid,,,kom,kom,,,
80,arveid õiendama,kellega,õiendama,arveid,,,kom,kom,,,
81,arvestama,millega,arvestama,,,,kom,kom,,,
82,arvestama,mida*,arvestama,,,,part,part,,,
83,arvustama,keda/mida*,arvustama,,,,part,part,,,
84,asendama,millega,asendama,,,,kom,kom,,,
85,asendama,keda/mida*,asendama,,,,part,part,,,
86,asenduma,millega,asenduma,,,,kom,kom,,,
87,aset andma,millele,andma,aset,,,all,all,,,
88,aset täitma,mille/kelle,täitma,aset,,,gen,gen,,,
89,aset võtma,kus,võtma,aset,,,ad,ad,,,
90,asetama,kuhu,asetama,,,,all,all,,,
91,asja tegema,kuhu,tegema,asja,,,all,all,,,
92,assotsieeruma,millega/kellega,assotsieeruma,,,,kom,kom,,,
93,astuma,kuhu,astuma,,,,all,all,,,
94,asuma,kus,asuma,,,,ad,ad,,,
