,word,government,verb_word,compound_prt1,compound_prt2,compound_prt3,government_with_case,member1_case,member1_adp,member1_other,member2_case,member2_adp,member2_verb,member2_other
0,abistama,keda/mida* + milles,abistama,,,,part + in,part,,,in,,,
1,aitama,kellel + mida teha,aitama,,,,ad + part teha,ad,,,part,,teha,
2,alla kirjutama,mille/mida,kirjutama,alla,,,part gen,part,,,gen,,,
3,ette heitma,kellele/millele + mida*,heitma,ette,,,all + part,all,,,part,,,
4,informeerima,keda* + millest,informeerima,,,,part + el,part,,,el,,,
5,jagama,mida* + kellega,jagama,,,,part + kom,part,,,kom,,,
6,kaasa lööma,milles/kus,lööma,kaasa,,,in ad,in,,,ad,,,
7,kaasa tegema,milles/kus,tegema,kaasa,,,in ad,in,,,ad,,,
8,kannatama,mille all,kannatama,,,,gen all,gen,,,all,,,
9,keelama,kellel + mida teha,keelama,,,,ad + part teha,ad,,,part,,teha,
10,kleepima,millele + mille peale,kleepima,,,,all + gen peale,all,,,gen,peale,,
11,kohtlema,keda/mida* + kuidas,kohtlema,,,,part + kuidas,part,,,,,,kuidas
12,kokku leppima,kellega + milles,leppima,kokku,,,kom + in,kom,,,in,,,
13,käskima,kellel + mida teha,käskima,,,,ad + part teha,ad,,,part,,teha,
14,kõrvale jääma,millest/kust,jääma,kõrvale,,,abl el,abl,,,el,,,
15,küsima,kellelt + mida*,küsima,,,,abl + part,abl,,,part,,,
16,küsima,kelle käest + mida*,küsima,,,,gen käest + part,gen,käest,,part,,,
17,laskma,kellel + mida teha,laskma,,,,ad + part teha,ad,,,part,,teha,
18,lubama,kellel + mida teha,lubama,,,,ad + part teha,ad,,,part,,teha,
19,läbi rääkima,kellega + mille suhtes,rääkima,läbi,,,kom + gen suhtes,kom,,,gen,suhtes,,
20,mugandama,millele/millega,mugandama,,,,kom all,kom,,,all,,,
21,nappima,kellel + milleks,nappima,,,,ad + tr,ad,,,tr,,,
22,nimetama,keda/mida kelleks/milleks,nimetama,,,,part tr,part,,,tr,,,
23,näima,milline/millisena,näima,,,,nom es,nom,,,es,,,
24,ostma,mille/mida,ostma,,,,part gen,part,,,gen,,,
25,paluma,kellel + mida teha,paluma,,,,ad + part teha,ad,,,part,,teha,
26,pidama,keda* + kelleks,pidama,,,,part + tr,part,,,tr,,,
27,piisama,kellele + millest,piisama,,,,all + el,all,,,el,,,
28,soovima,kellele + mida*,soovima,,,,all + part,all,,,part,,,
29,soovitama,kellel + mida teha,soovitama,,,,ad + part teha,ad,,,part,,teha,
30,sundima,keda + mida tegema,sundima,,,,part + part tegema,part,,,part,,tegema,
31,takistama,kellel + mida teha,takistama,,,,ad + part teha,ad,,,part,,teha,
32,teada saama,millest/mille kohta,saama,teada,,,el gen kohta,el,,,gen,kohta,,
33,teavitama,keda + millest,teavitama,,,,part + el,part,,,el,,,
34,tooma,kuhu + millega,tooma,,,,all + kom,all,,,kom,,,
35,tooma,kust + kuhu,tooma,,,,abl + all,abl,,,all,,,
36,tulema,kellel + mida teha,tulema,,,,ad + part teha,ad,,,part,,teha,
37,tunduma,milline + millisena,tunduma,,,,nom + es,nom,,,es,,,
38,täiendama,mida* + millega,täiendama,,,,part + kom,part,,,kom,,,
39,tõlkima,mis keelest + mis keelde,tõlkima,,,,nom keelest + nom keelde,nom,,keelest,nom,,,keelde
40,vedama,kuhu + millega,vedama,,,,all + kom,all,,,kom,,,
41,viima,kust + kuhu,viima,,,,abl + all,abl,,,all,,,
42,võimaldama,kellel + mida teha,võimaldama,,,,ad + part teha,ad,,,part,,teha,
43,ära harjutama,kellel mida,harjutama,ära,,,ad part,ad,,,part,,,
44,ära harjutama,keda millest,harjutama,ära,,,part el,part,,,el,,,
