pat_id,verbobl,word,case,gov,verb_word,compound_prt1,compound_prt2,compound_prt3,adp,other,verb,deprel
0,küsima - abl (kellelt/millelt),küsima,abl,kellelt/millelt,küsima,,,,,,,obl
1,nõudma - abl (kellelt/millelt),nõudma,abl,kellelt/millelt,nõudma,,,,,,,obl
2,ootama - abl (kellelt/millelt),ootama,abl,kellelt/millelt,ootama,,,,,,,obl
3,ostma - abl (kellelt/millelt),ostma,abl,kellelt/millelt,ostma,,,,,,,obl
4,paluma - abl (kellelt/millelt),paluma,abl,kellelt/millelt,paluma,,,,,,,obl
5,kuulma - abl (kellelt/millelt),kuulma,abl,kellelt/millelt,kuulma,,,,,,,obl
6,tellima - abl (kellelt/millelt),tellima,abl,kellelt/millelt,tellima,,,,,,,obl
7,võtma ära - abl (kellelt/millelt),võtma ära,abl,kellelt/millelt,võtma,ära,,,,,,obl
8,tahtma - abl (kellelt/millelt),tahtma,abl,kellelt/millelt,tahtma,,,,,,,obl
9,laekuma - abl (kellelt/millelt),laekuma,abl,kellelt/millelt,laekuma,,,,,,,obl
10,röövima - abl (kellelt/millelt),röövima,abl,kellelt/millelt,röövima,,,,,,,obl
11,pärima - abl (kellelt/millelt),pärima,abl,kellelt/millelt,pärima,,,,,,,obl
12,uurima - abl (kellelt/millelt),uurima,abl,kellelt/millelt,uurima,,,,,,,obl
13,taotlema - abl (kellelt/millelt),taotlema,abl,kellelt/millelt,taotlema,,,,,,,obl
14,eeldama - abl (kellelt/millelt),eeldama,abl,kellelt/millelt,eeldama,,,,,,,obl
15,koguma - abl (kellelt/millelt),koguma,abl,kellelt/millelt,koguma,,,,,,,obl
16,mõistma välja - abl (kellelt/millelt),mõistma välja,abl,kellelt/millelt,mõistma,välja,,,,,,obl
17,õppima - abl (kellelt/millelt),õppima,abl,kellelt/millelt,õppima,,,,,,,obl
18,ilmuma - abl (kellelt/millelt),ilmuma,abl,kellelt/millelt,ilmuma,,,,,,,obl
19,võtma üle - abl (kellelt/millelt),võtma üle,abl,kellelt/millelt,võtma,üle,,,,,,obl
20,pälvima - abl (kellelt/millelt),pälvima,abl,kellelt/millelt,pälvima,,,,,,,obl
21,pressima välja - abl (kellelt/millelt),pressima välja,abl,kellelt/millelt,pressima,välja,,,,,,obl
22,omandama - abl (kellelt/millelt),omandama,abl,kellelt/millelt,omandama,,,,,,,obl
23,petma välja - abl (kellelt/millelt),petma välja,abl,kellelt/millelt,petma,välja,,,,,,obl
24,mõistma - abl (kellelt/millelt),mõistma,abl,kellelt/millelt,mõistma,,,,,,,obl
25,ostma ära - abl (kellelt/millelt),ostma ära,abl,kellelt/millelt,ostma,ära,,,,,,obl
26,nõudma tagasi - abl (kellelt/millelt),nõudma tagasi,abl,kellelt/millelt,nõudma,tagasi,,,,,,obl
27,kuulduma - abl (kellelt/millelt),kuulduma,abl,kellelt/millelt,kuulduma,,,,,,,obl
28,kasseerima - abl (kellelt/millelt),kasseerima,abl,kellelt/millelt,kasseerima,,,,,,,obl
29,nõudma välja - abl (kellelt/millelt),nõudma välja,abl,kellelt/millelt,nõudma,välja,,,,,,obl
30,tuginema - abl (kellelt/millelt),tuginema,abl,kellelt/millelt,tuginema,,,,,,,obl
31,pumpama välja - abl (kellelt/millelt),pumpama välja,abl,kellelt/millelt,pumpama,välja,,,,,,obl
32,pinnima välja - abl (kellelt/millelt),pinnima välja,abl,kellelt/millelt,pinnima,välja,,,,,,obl
33,andma välja - abl (kellelt/millelt),andma välja,abl,kellelt/millelt,andma,välja,,,,,,obl
34,ostma kokku - abl (kellelt/millelt),ostma kokku,abl,kellelt/millelt,ostma,kokku,,,,,,obl
35,ostma juurde - abl (kellelt/millelt),ostma juurde,abl,kellelt/millelt,ostma,juurde,,,,,,obl
36,andma edasi - abl (kellelt/millelt),andma edasi,abl,kellelt/millelt,andma,edasi,,,,,,obl
37,õppima ära - abl (kellelt/millelt),õppima ära,abl,kellelt/millelt,õppima,ära,,,,,,obl
38,saama vastu - abl (kellelt/millelt),saama vastu,abl,kellelt/millelt,saama,vastu,,,,,,obl
39,võõrandama - abl (kellelt/millelt),võõrandama,abl,kellelt/millelt,võõrandama,,,,,,,obl
40,hõivama - abl (kellelt/millelt),hõivama,abl,kellelt/millelt,hõivama,,,,,,,obl
41,tulema juurde - abl (kellelt/millelt),tulema juurde,abl,kellelt/millelt,tulema,juurde,,,,,,obl
42,kutsuma esile - abl (kellelt/millelt),kutsuma esile,abl,kellelt/millelt,kutsuma,esile,,,,,,obl
43,manguma - abl (kellelt/millelt),manguma,abl,kellelt/millelt,manguma,,,,,,,obl
44,lunima - abl (kellelt/millelt),lunima,abl,kellelt/millelt,lunima,,,,,,,obl
45,laenama kokku - abl (kellelt/millelt),laenama kokku,abl,kellelt/millelt,laenama,kokku,,,,,,obl
46,küsima järele - abl (kellelt/millelt),küsima järele,abl,kellelt/millelt,küsima,järele,,,,,,obl
47,küsima üle - abl (kellelt/millelt),küsima üle,abl,kellelt/millelt,küsima,üle,,,,,,obl
48,küsima tagasi - abl (kellelt/millelt),küsima tagasi,abl,kellelt/millelt,küsima,tagasi,,,,,,obl
49,küsima vastu - abl (kellelt/millelt),küsima vastu,abl,kellelt/millelt,küsima,vastu,,,,,,obl
50,"mõistma välja, kokku - abl (kellelt/millelt)",mõistma välja,abl,kellelt/millelt,mõistma,välja,,,,,,obl
51,"mõistma välja, kokku - abl (kellelt/millelt)",mõistma kokku,abl,kellelt/millelt,mõistma,kokku,,,,,,obl
52,tahtma tagasi - abl (kellelt/millelt),tahtma tagasi,abl,kellelt/millelt,tahtma,tagasi,,,,,,obl
53,saama kaasa - abl (kellelt/millelt),saama kaasa,abl,kellelt/millelt,saama,kaasa,,,,,,obl
54,ostma üles - abl (kellelt/millelt),ostma üles,abl,kellelt/millelt,ostma,üles,,,,,,obl
55,ostma tagasi - abl (kellelt/millelt),ostma tagasi,abl,kellelt/millelt,ostma,tagasi,,,,,,obl
56,ostma sisse - abl (kellelt/millelt),ostma sisse,abl,kellelt/millelt,ostma,sisse,,,,,,obl
57,võitlema välja - abl (kellelt/millelt),võitlema välja,abl,kellelt/millelt,võitlema,välja,,,,,,obl
58,võitma tagasi - abl (kellelt/millelt),võitma tagasi,abl,kellelt/millelt,võitma,tagasi,,,,,,obl
59,ostma välja - abl (kellelt/millelt),ostma välja,abl,kellelt/millelt,ostma,välja,,,,,,obl
60,üürima - abl (kellelt/millelt),üürima,abl,kellelt/millelt,üürima,,,,,,,obl
61,riisuma - abl (kellelt/millelt),riisuma,abl,kellelt/millelt,riisuma,,,,,,,obl
62,hammustama - abl (kellelt/millelt),hammustama,abl,kellelt/millelt,hammustama,,,,,,,obl
63,võtma võlgu - abl (kellelt/millelt),võtma võlgu,abl,kellelt/millelt,võtma,võlgu,,,,,,obl
64,saama kätte - abl (kellelt/millelt),saama kätte,abl,kellelt/millelt,saama,kätte,,,,,,obl
65,rääkima välja - abl (kellelt/millelt),rääkima välja,abl,kellelt/millelt,rääkima,välja,,,,,,obl
66,saama peksma - abl (kellelt/millelt),saama peksma,abl,kellelt/millelt,peksma,saama,,,,,,obl
67,anuma - abl (kellelt/millelt),anuma,abl,kellelt/millelt,,anuma,,,,,,obl
68,pigistama välja - abl (kellelt/millelt),pigistama välja,abl,kellelt/millelt,pigistama,välja,,,,,,obl
69,nõudma sisse - abl (kellelt/millelt),nõudma sisse,abl,kellelt/millelt,nõudma,sisse,,,,,,obl
70,nõudma kokku - abl (kellelt/millelt),nõudma kokku,abl,kellelt/millelt,nõudma,kokku,,,,,,obl
