verb,verb_compound,kaane,elus_cnt,mitteelus_cnt,root_cnt,isik
saama,,el,1274,402,19632,vahel
andma,,all,1601,250,11612,vahel
rääkima,,el,802,202,10891,vahel
saama,,in,134,306,8532,mitte kunagi
tulema,,ad,1134,166,8468,alati
tulema,,el,425,266,7831,vahel
minema,,all,810,219,7431,vahel
tegema,,all,1143,210,7258,vahel
käima,,in,99,351,6832,mitte kunagi
toimuma,,in,86,332,6732,mitte kunagi
tulema,,all,847,206,6510,vahel
jääma,,all,949,206,6497,vahel
jääma,,el,534,200,6297,mitte kunagi
tegema,,in,97,268,5828,mitte kunagi
tegema,,el,579,149,5634,mitte kunagi
saama,,abl,972,141,5597,vahel
saama,,all,658,171,5585,vahel
tulema,,in,87,244,5535,mitte kunagi
olema,,in,121,268,5473,mitte kunagi
nägema,,in,225,219,5460,mitte kunagi
olema,,ad,649,162,5443,vahel
saama,,ad,176,125,5277,mitte kunagi
sõltuma,,el,450,118,5149,mitte kunagi
jääma,,ad,681,140,5112,vahel
töötama,,in,67,220,5094,mitte kunagi
minema,,ad,640,149,5034,vahel
koosnema,,el,550,146,4995,vahel
panema,,all,531,160,4925,vahel
kuuluma,,all,841,107,4891,vahel
käima,,ad,287,144,4806,vahel
viitama,,all,319,97,4716,vahel
jääma,,in,84,216,4622,mitte kunagi
elama,,in,90,333,4597,mitte kunagi
piisama,,el,196,90,4587,mitte kunagi
teadma,,el,363,97,4534,vahel
tekkima,,ad,710,109,4516,alati
leidma,,in,126,263,4440,mitte kunagi
leidma,,el,254,237,4357,vahel
pakkuma,,all,1016,113,4235,vahel
asuma,,in,49,324,4179,mitte kunagi
loobuma,,el,153,102,4101,mitte kunagi
võtma,,el,259,135,4030,vahel
andma,,el,344,103,4016,vahel
puuduma,,ad,666,137,3983,vahel
tegema,,ad,196,126,3940,mitte kunagi
vastama,,all,218,58,3849,mitte kunagi
õnnestuma,,ad,785,77,3835,alati
osalema,,in,41,87,3769,mitte kunagi
minema,,in,74,189,3707,mitte kunagi
minema,,el,315,168,3532,vahel
andma,,in,69,187,3498,mitte kunagi
ütlema,,all,797,60,3464,alati
mängima,,in,81,149,3430,mitte kunagi
osalema,,ad,29,41,3327,mitte kunagi
olema,,el,309,126,3300,vahel
tooma,,all,627,146,3224,vahel
hakkama,,in,86,223,3218,mitte kunagi
minema,,ill,81,151,3140,mitte kunagi
kirjutama,,el,359,81,3114,vahel
seisma,,in,46,207,3074,mitte kunagi
jõudma,,all,263,135,3068,vahel
saatma,,all,598,108,3062,vahel
esinema,,in,55,141,3061,mitte kunagi
järgnema,,all,204,40,2979,vahel
põhinema,,ad,47,33,2970,mitte kunagi
tulema,,abl,491,112,2957,vahel
pidama,,in,56,186,2955,mitte kunagi
toimuma,,ad,73,132,2945,vahel
esitama,,all,570,87,2928,vahel
olema,vaja,ad,598,100,2925,vahel
erinema,,el,246,97,2921,vahel
laskma,,ad,574,78,2902,vahel
kuulma,,el,254,96,2861,vahel
hakkama,,ad,335,110,2853,vahel
keskenduma,,all,151,83,2846,vahel
tulenema,,el,57,46,2817,mitte kunagi
tekkima,,in,119,180,2799,mitte kunagi
käima,,el,339,145,2798,mitte kunagi
pääsema,,el,200,117,2790,mitte kunagi
jõudma,,in,50,125,2785,mitte kunagi
sobima,,all,569,126,2777,vahel
teatama,,el,208,63,2763,vahel
meeldima,,all,784,42,2750,alati
võtma,,in,49,178,2724,mitte kunagi
pidama,,el,336,86,2689,vahel
algama,,el,141,129,2688,mitte kunagi
küsima,,abl,795,43,2681,alati
ütlema,,in,53,125,2672,mitte kunagi
algama,,in,44,208,2670,mitte kunagi
istuma,,in,60,190,2663,mitte kunagi
minema,,adit,50,157,2653,vahel
jõudma,,el,272,127,2650,vahel
alustama,,in,42,155,2561,mitte kunagi
viima,,all,256,109,2556,vahel
mõjuma,,all,440,79,2555,vahel
tekitama,,in,485,131,2537,mitte kunagi
esinema,,ad,180,70,2520,mitte kunagi
maksma,,all,676,76,2495,vahel
jõudma,,ill,48,153,2480,vahel
mõtlema,,all,260,73,2477,mitte kunagi
suhtuma,,ill,422,54,2477,vahel
nõudma,,abl,646,65,2442,alati
jätma,,all,514,109,2401,vahel
hakkama,,el,254,114,2393,vahel
nägema,,ad,87,126,2380,mitte kunagi
sündima,,in,47,144,2379,mitte kunagi
andma,,ad,102,85,2360,mitte kunagi
kuuluma,,adit,43,55,2336,mitte kunagi
pärinema,,el,100,108,2320,mitte kunagi
võtma,,abl,542,81,2311,vahel
tekkima,,el,122,53,2306,mitte kunagi
lubama,,ad,478,78,2303,vahel
puutuma,,ill,260,56,2291,mitte kunagi
olema,,all,340,99,2271,vahel
moodustama,,el,238,70,2265,vahel
lähtuma,,el,80,54,2257,mitte kunagi
võtma,,ad,235,88,2254,vahel
lisama,,all,178,77,2249,vahel
lahkuma,,el,146,157,2231,vahel
kuluma,,all,140,67,2212,vahel
leiduma,,in,68,140,2206,mitte kunagi
tähendama,,all,528,91,2180,vahel
süüdistama,,in,5,30,2179,mitte kunagi
jääma,alla,all,292,50,2177,vahel
arvama,,el,247,57,2176,vahel
aitama,,ad,444,75,2173,vahel
tulema,,ill,65,139,2164,mitte kunagi
osutama,,all,248,88,2159,mitte kunagi
võitma,,in,27,55,2156,mitte kunagi
pöörama,,all,176,93,2104,mitte kunagi
jätkuma,,ad,399,94,2102,vahel
muutuma,,in,49,131,2097,mitte kunagi
lisanduma,,all,154,71,2076,vahel
viibima,,in,33,170,2075,mitte kunagi
avaldama,,all,425,50,2057,vahel
