cnt,lemma
49116,inimene
23297,mees
11626,isik
8992,naine
6749,laps
3135,liige
3008,noormees
2971,töötaja
2833,poiss
2433,kodanik
2408,tüdruk
2248,juht
2152,noor
2090,eestlane
2063,ametnik
1936,esindaja
1828,poliitik
1780,sõber
1758,ema
1748,ettevõtja
1659,klient
1547,tegelane
1512,elanik
1480,mängija
1479,õpilane
1348,omanik
1321,politseinik
1276,õpetaja
1265,arst
1241,pere
1238,kandidaat
1210,ajakirjanik
1153,kunstnik
1095,näitleja
1088,isa
1049,ärimees
1037,president
1024,poeg
1021,loom
1002,spetsialist
995,koer
958,välismaalane
956,patsient
950,sportlane
893,tudeng
878,kolleeg
847,neiu
847,investor
833,sõdur
804,minister
779,pensionär
774,üliõpilane
769,perekond
766,kirjanik
748,nooruk
733,politsei
714,soomlane
707,autor
694,tuttav
679,vend
670,autojuht
666,venelane
666,daam
661,teadlane
639,liider
621,abikaasa
619,tütar
605,partner
594,turist
589,tütarlaps
585,muusik
574,ohvitser
571,kurjategija
561,ameeriklane
549,ekspert
542,fänn
514,naisterahvas
510,tegija
491,publik
482,rühm
480,lapsevanem
478,laulja
478,käsi
471,treener
460,peaminister
446,kohtunik
436,reisija
429,saadik
410,külaline
409,tööandja
409,lugeja
404,õde
397,vang
391,tarbija
382,valija
382,ostja
381,bänd
379,sõjaväelane
378,haige
375,olend
374,esimees
373,advokaat
372,artist
371,kass
368,tunnistaja
365,vastane
359,sugulane
351,täiskasvanu
349,jurist
339,staar
335,müüja
334,direktor
333,naaber
330,lind
329,hobune
325,sakslane
313,organ
310,kaaslane
308,võitleja
306,helilooja
305,turvamees
305,agent
303,vanaema
295,sõbranna
295,riigiametnik
294,ametiisik
293,taksojuht
293,narkomaan
293,huviline
290,ohver
284,kangelane
279,meesterahvas
278,töötu
278,asjatundja
276,talunik
275,terrorist
273,õppejõud
272,juhataja
271,sõitja
270,üürnik
270,uurija
268,poisike
266,linnapea
262,tööline
258,eraisik
256,lavastaja
255,vaataja
254,põllumees
253,rootslane
252,diplomaat
250,juut
248,vanur
248,lehm
247,neid
245,pakkuja
238,varas
237,mina
236,kriitik
236,aktsionär
235,vaenlane
235,taotleja
234,peremees
229,piloot
219,kasutaja
217,jõuk
215,võitja
214,tädi
214,toetaja
214,persoon
212,suusataja
210,tallinlane
210,abielupaar
209,arhitekt
208,põgenik
208,ajateenija
207,palestiinlane
206,vanamees
205,nõunik
205,majaomanik
204,sponsor
204,koolipoiss
202,töömees
200,tartlane
199,pallur
198,härrasmees
193,jalakäija
192,korraldaja
191,bussijuht
190,ülemus
189,kuningas
187,kapten
187,ansambel
186,maksumaksja
185,prostituut
185,professor
184,kamp
183,meeleavaldaja
183,inglane
182,prantslane
180,politseiametnik
179,kommunist
177,jalgrattur
176,perearst
176,operaator
176,külastaja
176,härra
176,fotograaf
175,kalur
175,esineja
174,vanainimene
173,rattur
172,kalamees
171,välisminister
171,nägu
170,pedagoog
169,jumal
168,tiim
167,vahendaja
167,maavanem
166,meister
165,delegatsioon
164,teismeline
164,prokurör
164,linlane
164,kala
162,psühholoog
162,proua
162,luuletaja
162,kannatanu
161,tantsija
161,linnakodanik
161,kaupmees
160,talumees
160,riigipea
160,pealtvaataja
160,olevus
160,lätlane
159,kutt
158,maaomanik
157,autoomanik
156,professionaal
154,kindral
153,inspektor
152,elukaaslane
151,onu
149,abiline
148,sekretär
148,perenaine
147,tellija
146,siseminister
146,modell
145,demokraat
144,koolilaps
143,välisinvestor
143,vanaisa
141,tuletõrjuja
141,kaunitar
140,produtsent
140,kaitseväelane
140,immigrant
140,dirigent
139,hunt
138,võlausaldaja
138,meremees
138,eurooplane
137,kuulsus
136,vaatleja
135,valitseja
135,lammas
135,jahimees
134,elanikkond
133,vanaproua
133,pereliige
133,kahtlusalune
132,osaleja
132,järeltulija
131,valvur
131,pea
131,karu
129,naiskond
129,aktivist
129,ajaloolane
128,invaliid
127,pantvang
126,väliseestlane
126,looja
124,võistleja
124,silm
124,sell
124,saatejuht
124,jaapanlane
124,fanaatik
123,pereisa
123,lapselaps
123,jalgpallur
121,vaimulik
121,piiga
121,lauljatar
121,ehitaja
120,õppur
120,röövel
120,liitlane
120,kuulaja
120,hiinlane
119,venelanna
119,surnukeha
119,insener
118,elukas
118,atleet
117,veteran
117,piirivalvur
117,mustlane
116,joodik
115,talupidaja
115,kaitseliitlane
115,isend
113,rahandusminister
113,korvpallur
112,režissöör
112,konstaabel
112,asotsiaal
111,toimetaja
111,tohter
111,pressiesindaja
110,sotsiaaldemokraat
110,preester
110,hiir
110,analüütik
109,näitlejanna
109,muulane
109,loll
108,siga
108,peadirektor
107,sotsiaaltöötaja
107,munk
107,leedulane
106,reporter
106,rentnik
106,nõustaja
106,itaallane
105,soovija
105,albaanlane
104,tippjuht
103,ründaja
103,rott
103,putukas
103,lõpetaja
102,üksikisik
102,vaim
102,kaitsepolitsei
101,paavst
101,kirurg
100,sõjamees
100,kantsler
99,kaasmaalane
98,korteriomanik
98,kodutu
97,teenistuja
97,koostööpartner
97,kokk
97,kasvataja
97,juhendaja
96,presidendikandidaat
96,kaitsja
96,alluv
95,mõrvar
95,hooldaja
95,firmajuht
94,personal
94,näitsik
93,talupoeg
93,sundüürnik
92,solist
92,iraaklane
91,võõras
91,suu
91,pillimees
91,oma
91,jõuluvana
90,teenindaja
90,suursaadik
90,riigimees
90,riigijuht
90,maakler
90,imik
90,geenius
90,britt
89,pätt
89,politseipatrull
89,miljonär
89,maainimene
89,linnaametnik
89,armuke
