verbobl;verb;case;isikumäärus;aja-kohamäärus;muu
saama - abl (kellelt/millelt);saama;abl (kellelt/millelt);vahel;vahel;mitte kunagi
tulema - abl (kellelt/millelt);tulema;abl (kellelt/millelt);vahel;vahel;mitte kunagi
küsima - abl (kellelt/millelt);küsima;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi
nõudma - abl (kellelt/millelt);nõudma;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi
võtma - abl (kellelt/millelt);võtma;abl (kellelt/millelt);vahel;vahel;mitte kunagi
ootama - abl (kellelt/millelt);ootama;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi
leidma - abl (kellelt/millelt);leidma;abl (kellelt/millelt);vahel;vahel;mitte kunagi
ostma - abl (kellelt/millelt);ostma;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi
pärinema - abl (kellelt/millelt);pärinema;abl (kellelt/millelt);vahel;vahel;mitte kunagi
paluma - abl (kellelt/millelt);paluma;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi
minema - abl (kellelt/millelt);minema;abl (kellelt/millelt);mitte kunagi;mitte kunagi;pole kindel
kuulma - abl (kellelt/millelt);kuulma;abl (kellelt/millelt);alati;mitte kunagi;muu
tellima - abl (kellelt/millelt);tellima;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi
jääma - abl (kellelt/millelt);jääma;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu
võtma ära - abl (kellelt/millelt);võtma ära;abl (kellelt/millelt);alati;mitte kunagi;muu
lahkuma - abl (kellelt/millelt);lahkuma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi
jõudma - abl (kellelt/millelt);jõudma;abl (kellelt/millelt);vahel;vahel;muu
saabuma - abl (kellelt/millelt);saabuma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi
tahtma - abl (kellelt/millelt);tahtma;abl (kellelt/millelt);alati;mitte kunagi;muu
olema - abl (kellelt/millelt);olema;abl (kellelt/millelt);mitte kunagi;vahel;muu
kaduma - abl (kellelt/millelt);kaduma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi
hakkama - abl (kellelt/millelt);hakkama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;pole kindel
teenima - abl (kellelt/millelt);teenima;abl (kellelt/millelt);vahel;vahel;vaieldav märgendus
naasma - abl (kellelt/millelt);naasma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi
tegema - abl (kellelt/millelt);tegema;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu
laekuma - abl (kellelt/millelt);laekuma;abl (kellelt/millelt);alati;mitte kunagi;vaieldav märgendus
tooma - abl (kellelt/millelt);tooma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi
viima - abl (kellelt/millelt);viima;abl (kellelt/millelt);vahel;vahel;mitte kunagi
otsima - abl (kellelt/millelt);otsima;abl (kellelt/millelt);vahel;vahel;mitte kunagi
röövima - abl (kellelt/millelt);röövima;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi
pärima - abl (kellelt/millelt);pärima;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi
lootma - abl (kellelt/millelt);lootma;abl (kellelt/millelt);vahel;mitte kunagi;muu
soovima - abl (kellelt/millelt);soovima;abl (kellelt/millelt);vahel;vahel;vaieldav märgendus
uurima - abl (kellelt/millelt);uurima;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi
tõusma - abl (kellelt/millelt);tõusma;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus
käima - abl (kellelt/millelt);käima;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu
taotlema - abl (kellelt/millelt);taotlema;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi
nägema - abl (kellelt/millelt);nägema;abl (kellelt/millelt);mitte kunagi;alati;muu
alustama - abl (kellelt/millelt);alustama;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus
sõitma - abl (kellelt/millelt);sõitma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi
algama - abl (kellelt/millelt);algama;abl (kellelt/millelt);mitte kunagi;alati;muu
vaatama - abl (kellelt/millelt);vaatama;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus
eeldama - abl (kellelt/millelt);eeldama;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi
andma - abl (kellelt/millelt);andma;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu
koguma - abl (kellelt/millelt);koguma;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi
langema - abl (kellelt/millelt);langema;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus
puuduma - abl (kellelt/millelt);puuduma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi
lugema - abl (kellelt/millelt);lugema;abl (kellelt/millelt);mitte kunagi;vahel;muu
laenama - abl (kellelt/millelt);laenama;abl (kellelt/millelt);vahel;vahel;vaieldav märgendus
pääsema - abl (kellelt/millelt);pääsema;abl (kellelt/millelt);mitte kunagi;alati;muu
mõistma välja - abl (kellelt/millelt);mõistma välja;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi
õppima - abl (kellelt/millelt);õppima;abl (kellelt/millelt);alati;mitte kunagi;muu
ilmuma - abl (kellelt/millelt);ilmuma;abl (kellelt/millelt);alati;mitte kunagi;muu
maksma - abl (kellelt/millelt);maksma;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus
liikuma - abl (kellelt/millelt);liikuma;abl (kellelt/millelt);mitte kunagi;alati;muu
avastama - abl (kellelt/millelt);avastama;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi
varastama - abl (kellelt/millelt);varastama;abl (kellelt/millelt);vahel;vahel;mitte kunagi
jääma alla - abl (kellelt/millelt);jääma alla;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu
kuuluma - abl (kellelt/millelt);kuuluma;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu
teadma - abl (kellelt/millelt);teadma;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu
kukkuma - abl (kellelt/millelt);kukkuma;abl (kellelt/millelt);mitte kunagi;alati;muu
saatma - abl (kellelt/millelt);saatma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi
tõstma - abl (kellelt/millelt);tõstma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi
tabama - abl (kellelt/millelt);tabama;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus
kasvama - abl (kellelt/millelt);kasvama;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus
