pat_id,pattern,phrase_case,isik,koht,muu,verb_word,verb_compound,phrase_nr,adp,deprel,inf_verb
1,saama kellelt/millelt,abl,vahel,vahel,mitte kunagi,saama,,1,,obl,
2,tulema kellelt/millelt,abl,vahel,vahel,mitte kunagi,tulema,,1,,obl,
3,küsima kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,küsima,,1,,obl,
4,nõudma kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,nõudma,,1,,obl,
5,võtma kellelt/millelt,abl,vahel,vahel,mitte kunagi,võtma,,1,,obl,
6,ootama kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,ootama,,1,,obl,
7,leidma kellelt/millelt,abl,vahel,vahel,mitte kunagi,leidma,,1,,obl,
8,ostma kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,ostma,,1,,obl,
9,pärinema kellelt/millelt,abl,vahel,vahel,mitte kunagi,pärinema,,1,,obl,
10,paluma kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,paluma,,1,,obl,
11,minema kellelt/millelt,abl,mitte kunagi,mitte kunagi,pole kindel,minema,,1,,obl,
12,kuulma kellelt/millelt,abl,alati,mitte kunagi,muu,kuulma,,1,,obl,
13,tellima kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,tellima,,1,,obl,
14,jääma kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,jääma,,1,,obl,
15,võtma ära kellelt/millelt,abl,alati,mitte kunagi,muu,võtma,ära,1,,obl,
16,lahkuma kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,lahkuma,,1,,obl,
17,jõudma kellelt/millelt,abl,vahel,vahel,muu,jõudma,,1,,obl,
18,saabuma kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,saabuma,,1,,obl,
19,tahtma kellelt/millelt,abl,alati,mitte kunagi,muu,tahtma,,1,,obl,
20,olema kellelt/millelt,abl,mitte kunagi,vahel,muu,olema,,1,,obl,
21,kaduma kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,kaduma,,1,,obl,
22,hakkama kellelt/millelt,abl,mitte kunagi,mitte kunagi,pole kindel,hakkama,,1,,obl,
23,teenima kellelt/millelt,abl,vahel,vahel,vaieldav märgendus,teenima,,1,,obl,
24,naasma kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,naasma,,1,,obl,
25,tegema kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,tegema,,1,,obl,
26,laekuma kellelt/millelt,abl,alati,mitte kunagi,vaieldav märgendus,laekuma,,1,,obl,
27,tooma kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,tooma,,1,,obl,
28,viima kellelt/millelt,abl,vahel,vahel,mitte kunagi,viima,,1,,obl,
29,otsima kellelt/millelt,abl,vahel,vahel,mitte kunagi,otsima,,1,,obl,
30,röövima kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,röövima,,1,,obl,
31,pärima kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,pärima,,1,,obl,
32,lootma kellelt/millelt,abl,vahel,mitte kunagi,muu,lootma,,1,,obl,
33,soovima kellelt/millelt,abl,vahel,vahel,vaieldav märgendus,soovima,,1,,obl,
34,uurima kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,uurima,,1,,obl,
35,tõusma kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,tõusma,,1,,obl,
36,käima kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,käima,,1,,obl,
37,taotlema kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,taotlema,,1,,obl,
38,nägema kellelt/millelt,abl,mitte kunagi,alati,muu,nägema,,1,,obl,
39,alustama kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,alustama,,1,,obl,
40,sõitma kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,sõitma,,1,,obl,
41,algama kellelt/millelt,abl,mitte kunagi,alati,muu,algama,,1,,obl,
42,vaatama kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,vaatama,,1,,obl,
43,eeldama kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,eeldama,,1,,obl,
44,andma kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,andma,,1,,obl,
45,koguma kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,koguma,,1,,obl,
46,langema kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,langema,,1,,obl,
47,puuduma kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,puuduma,,1,,obl,
48,lugema kellelt/millelt,abl,mitte kunagi,vahel,muu,lugema,,1,,obl,
49,laenama kellelt/millelt,abl,vahel,vahel,vaieldav märgendus,laenama,,1,,obl,
50,pääsema kellelt/millelt,abl,mitte kunagi,alati,muu,pääsema,,1,,obl,
51,mõistma välja kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,mõistma,välja,1,,obl,
52,õppima kellelt/millelt,abl,alati,mitte kunagi,muu,õppima,,1,,obl,
53,ilmuma kellelt/millelt,abl,alati,mitte kunagi,muu,ilmuma,,1,,obl,
54,maksma kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,maksma,,1,,obl,
55,liikuma kellelt/millelt,abl,mitte kunagi,alati,muu,liikuma,,1,,obl,
56,avastama kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,avastama,,1,,obl,
57,varastama kellelt/millelt,abl,vahel,vahel,mitte kunagi,varastama,,1,,obl,
58,jääma alla kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,jääma,alla,1,,obl,
59,kuuluma kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,kuuluma,,1,,obl,
60,teadma kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,teadma,,1,,obl,
61,kukkuma kellelt/millelt,abl,mitte kunagi,alati,muu,kukkuma,,1,,obl,
62,saatma kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,saatma,,1,,obl,
63,tõstma kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,tõstma,,1,,obl,
64,tabama kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,tabama,,1,,obl,
65,kasvama kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,kasvama,,1,,obl,
66,meenutama kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,meenutama,,1,,obl,
67,võtma üle kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,võtma,üle,1,,obl,
68,ütlema kellelt/millelt,abl,mitte kunagi,vahel,muu,ütlema,,1,,obl,
69,võitma kellelt/millelt,abl,vahel,vahel,muu,võitma,,1,,obl,
70,pidama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,pidama,,1,,obl,
71,eemaldama kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,eemaldama,,1,,obl,
72,võtma vastu kellelt/millelt,abl,vahel,vahel,mitte kunagi,võtma,vastu,1,,obl,
73,ületama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,ületama,,1,,obl,
74,asuma kellelt/millelt,abl,mitte kunagi,mitte kunagi,pole kindel,asuma,,1,,obl,
75,pälvima kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,pälvima,,1,,obl,
76,õnnestuma kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,õnnestuma,,1,,obl,
77,toimuma kellelt/millelt,abl,mitte kunagi,vahel,muu,toimuma,,1,,obl,
78,vajama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,vajama,,1,,obl,
79,paistma kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,paistma,,1,,obl,
80,kõlama kellelt/millelt,abl,vahel,vahel,pole kindel,kõlama,,1,,obl,
81,tulema tagasi kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,tulema,tagasi,1,,obl,
82,panema kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,panema,,1,,obl,
83,kostma kellelt/millelt,abl,vahel,vahel,mitte kunagi,kostma,,1,,obl,
84,võtma maha kellelt/millelt,abl,vahel,vahel,mitte kunagi,võtma,maha,1,,obl,
85,lendama kellelt/millelt,abl,mitte kunagi,alati,muu,lendama,,1,,obl,
86,tõmbama kellelt/millelt,abl,vahel,vahel,mitte kunagi,tõmbama,,1,,obl,
87,korjama kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,korjama,,1,,obl,
88,olema vaja kellelt/millelt,abl,mitte kunagi,alati,muu,olema,vaja,1,,obl,
89,rentima kellelt/millelt,abl,vahel,vahel,mitte kunagi,rentima,,1,,obl,
90,erinema kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,erinema,,1,,obl,
91,vähenema kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,vähenema,,1,,obl,
92,järgnema kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,järgnema,,1,,obl,
93,vaatama vastu kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,vaatama,vastu,1,,obl,
94,vastama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,vastama,,1,,obl,
95,tähendama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,tähendama,,1,,obl,
96,haarama kellelt/millelt,abl,vahel,vahel,mitte kunagi,haarama,,1,,obl,
97,muutuma kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,muutuma,,1,,obl,
98,pressima välja kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,pressima,välja,1,,obl,
99,hüppama kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,hüppama,,1,,obl,
100,sobima kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,sobima,,1,,obl,
101,jõudma tagasi kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,jõudma,tagasi,1,,obl,
102,püüdma kellelt/millelt,abl,vahel,vahel,mitte kunagi,püüdma,,1,,obl,
103,rääkima kellelt/millelt,abl,mitte kunagi,vahel,muu,rääkima,,1,,obl,
104,saama tagasi kellelt/millelt,abl,vahel,vahel,pole kindel,saama,tagasi,1,,obl,
105,tasuma kellelt/millelt,abl,vahel,vahel,pole kindel,tasuma,,1,,obl,
106,lubama kellelt/millelt,abl,vahel,vahel,pole kindel,lubama,,1,,obl,
107,jätma kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,jätma,,1,,obl,
108,näitama kellelt/millelt,abl,vahel,vahel,pole kindel,näitama,,1,,obl,
109,omandama kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,omandama,,1,,obl,
110,pühkima kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,pühkima,,1,,obl,
111,suutma kellelt/millelt,abl,mitte kunagi,vahel,muu,suutma,,1,,obl,
112,startima kellelt/millelt,abl,mitte kunagi,alati,muu,startima,,1,,obl,
113,suurenema kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,suurenema,,1,,obl,
114,rebima kellelt/millelt,abl,vahel,vahel,mitte kunagi,rebima,,1,,obl,
115,petma välja kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,petma,välja,1,,obl,
116,kaotama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,kaotama,,1,,obl,
117,sarnanema kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,sarnanema,,1,,obl,
118,tekkima kellelt/millelt,abl,vahel,vahel,muu,tekkima,,1,,obl,
119,jälgima kellelt/millelt,abl,mitte kunagi,alati,muu,jälgima,,1,,obl,
120,kolima kellelt/millelt,abl,mitte kunagi,alati,muu,kolima,,1,,obl,
121,mõistma kellelt/millelt,abl,alati,mitte kunagi,muu,mõistma,,1,,obl,
122,pakkuma kellelt/millelt,abl,mitte kunagi,alati,muu,pakkuma,,1,,obl,
123,tundma kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,tundma,,1,,obl,
124,jooksma kellelt/millelt,abl,mitte kunagi,alati,muu,jooksma,,1,,obl,
125,ostma ära kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,ostma,ära,1,,obl,
126,lööma kellelt/millelt,abl,vahel,vahel,muu,lööma,,1,,obl,
127,laskma kellelt/millelt,abl,vahel,vahel,muu,laskma,,1,,obl,
128,esitama kellelt/millelt,abl,mitte kunagi,vahel,muu,esitama,,1,,obl,
129,avanema kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,avanema,,1,,obl,
130,põgenema kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,põgenema,,1,,obl,
131,sattuma kellelt/millelt,abl,mitte kunagi,alati,muu,sattuma,,1,,obl,
132,väljuma kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,väljuma,,1,,obl,
133,astuma kellelt/millelt,abl,mitte kunagi,alati,muu,astuma,,1,,obl,
134,nõudma tagasi kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,nõudma,tagasi,1,,obl,
135,tooma kaasa kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,tooma,kaasa,1,,obl,
136,kasutama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,kasutama,,1,,obl,
137,käima läbi kellelt/millelt,abl,mitte kunagi,alati,muu,käima,läbi,1,,obl,
138,lähtuma kellelt/millelt,abl,vahel,vahel,mitte kunagi,lähtuma,,1,,obl,
139,üritama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,üritama,,1,,obl,
140,kulgema kellelt/millelt,abl,mitte kunagi,alati,muu,kulgema,,1,,obl,
141,lisanduma kellelt/millelt,abl,vahel,vahel,mitte kunagi,lisanduma,,1,,obl,
142,hankima kellelt/millelt,abl,vahel,vahel,mitte kunagi,hankima,,1,,obl,
143,kerkima kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,kerkima,,1,,obl,
144,kuulduma kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,kuulduma,,1,,obl,
145,lõpetama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,lõpetama,,1,,obl,
146,noppima kellelt/millelt,abl,vahel,vahel,muu,noppima,,1,,obl,
147,oskama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,oskama,,1,,obl,
148,jätkama kellelt/millelt,abl,mitte kunagi,alati,muu,jätkama,,1,,obl,
149,jääma maha kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,jääma,maha,1,,obl,
150,kirjutama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,kirjutama,,1,,obl,
151,mängima kellelt/millelt,abl,mitte kunagi,alati,muu,mängima,,1,,obl,
152,mäletama kellelt/millelt,abl,mitte kunagi,alati,pole kindel,mäletama,,1,,obl,
153,kasseerima kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,kasseerima,,1,,obl,
154,nõudma välja kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,nõudma,välja,1,,obl,
155,usaldama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,usaldama,,1,,obl,
156,sirguma kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,sirguma,,1,,obl,
157,kärpima kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,kärpima,,1,,obl,
158,tungima kellelt/millelt,abl,mitte kunagi,alati,muu,tungima,,1,,obl,
159,puutuma kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,puutuma,,1,,obl,
160,tundma ära kellelt/millelt,abl,mitte kunagi,alati,pole kindel,tundma,ära,1,,obl,
161,muutma kellelt/millelt,abl,mitte kunagi,alati,pole kindel,muutma,,1,,obl,
162,puudutama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,puudutama,,1,,obl,
163,tunduma kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,tunduma,,1,,obl,
164,siirduma kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,siirduma,,1,,obl,
165,käsitlema kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,käsitlema,,1,,obl,
166,kõndima kellelt/millelt,abl,mitte kunagi,alati,muu,kõndima,,1,,obl,
167,külastama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,külastama,,1,,obl,
168,tulema sisse kellelt/millelt,abl,mitte kunagi,alati,muu,tulema,sisse,1,,obl,
169,murdma kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,murdma,,1,,obl,
170,muigama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,muigama,,1,,obl,
171,tarnima kellelt/millelt,abl,vahel,vahel,mitte kunagi,tarnima,,1,,obl,
172,tulema maha kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,tulema,maha,1,,obl,
173,tulema peale kellelt/millelt,abl,mitte kunagi,alati,muu,tulema,peale,1,,obl,
174,kõnelema kellelt/millelt,abl,mitte kunagi,alati,muu,kõnelema,,1,,obl,
175,tulema üle kellelt/millelt,abl,vahel,vahel,mitte kunagi,tulema,üle,1,,obl,
176,tuletama kellelt/millelt,abl,mitte kunagi,vahel,muu,tuletama,,1,,obl,
177,tulenema kellelt/millelt,abl,vahel,vahel,muu,tulenema,,1,,obl,
178,murduma kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,murduma,,1,,obl,
179,tulema vastu kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,tulema,vastu,1,,obl,
180,kõrvaldama kellelt/millelt,abl,vahel,vahel,muu,kõrvaldama,,1,,obl,
181,muretsema kellelt/millelt,abl,vahel,vahel,muu,muretsema,,1,,obl,
182,kõlbama kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,kõlbama,,1,,obl,
183,laiendama kellelt/millelt,abl,vahel,vahel,mitte kunagi,laiendama,,1,,obl,
184,langema alla kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,langema,alla,1,,obl,
185,tuginema kellelt/millelt,abl,alati,mitte kunagi,pole kindel,tuginema,,1,,obl,
186,tugevnema kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,tugevnema,,1,,obl,
187,soovitama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,soovitama,,1,,obl,
188,langema kokku kellelt/millelt,abl,mitte kunagi,mitte kunagi,vaieldav märgendus,langema,kokku,1,,obl,
189,langetama kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,langetama,,1,,obl,
190,langema ära kellelt/millelt,abl,vahel,vahel,mitte kunagi,langema,ära,1,,obl,
191,minema ära kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,minema,ära,1,,obl,
192,tsiteerima kellelt/millelt,abl,mitte kunagi,alati,muu,tsiteerima,,1,,obl,
193,minema üle kellelt/millelt,abl,vahel,vahel,muu,minema,üle,1,,obl,
194,langema välja kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,langema,välja,1,,obl,
195,pumpama välja kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,pumpama,välja,1,,obl,
196,tuiskama kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,tuiskama,,1,,obl,
197,kõmmutama kellelt/millelt,abl,mitte kunagi,alati,muu,kõmmutama,,1,,obl,
198,moodustama kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,moodustama,,1,,obl,
199,lajatama kellelt/millelt,abl,mitte kunagi,alati,mitte kunagi,lajatama,,1,,obl,
200,pinnima välja kellelt/millelt,abl,alati,mitte kunagi,mitte kunagi,pinnima,välja,1,,obl,
201,pumpama kellelt/millelt,abl,vahel,vahel,muu,pumpama,,1,,obl,
202,laienema kellelt/millelt,abl,vahel,vahel,muu,laienema,,1,,obl,
203,kõikuma kellelt/millelt,abl,mitte kunagi,alati,vaieldav märgendus,kõikuma,,1,,obl,
204,tulistama kellelt/millelt,abl,mitte kunagi,alati,muu,tulistama,,1,,obl,
205,purunema kellelt/millelt,abl,mitte kunagi,mitte kunagi,muu,purunema,,1,,obl,
