verb;verb_compound;kaane;elus_cnt;mitteelus_cnt;root_cnt;isik;total;examples;elus_div;mitteelus_div
saama;;el;1274;402;19632;vahel;1676;inimestest,toidupoest,sõnadest;0.06489405052974735;0.02047677261613692
andma;;all;1601;250;11612;vahel;1851;meile;0.13787461246985877;0.021529452290733723
rääkima;;el;802;202;10891;vahel;1004;seksuaalulmadest,mõrvadest;0.07363878431732623;0.018547424478927554
tulema;;ad;1134;166;8468;alati;1300;sul,linnal,neil;0.13391591875295228;0.019603212092583845
minema;;all;810;219;7431;vahel;1029;mulle,luurele;0.10900282599919257;0.029471134436818733
tegema;;all;1143;210;7258;vahel;1353;;0.1574813998346652;0.02893359052080463
tulema;;all;847;206;6510;vahel;1053;kontserdile;0.13010752688172042;0.03164362519201229
jääma;;all;949;206;6497;vahel;1155;;0.14606741573033707;0.03170694166538402
jääma;;el;534;200;6297;mitte kunagi;734;;0.08480228680323963;0.03176115610608226
tegema;;el;579;149;5634;mitte kunagi;728;mehest,prantslasest;0.1027689030883919;0.026446574369897054
saama;;abl;972;141;5597;vahel;1113;;0.17366446310523495;0.02519206717884581
saama;;all;658;171;5585;vahel;829;;0.11781557743957027;0.0306177260519248
olema;;ad;649;162;5443;vahel;811;;0.1192357155980158;0.02976299834650009
jääma;;ad;681;140;5112;vahel;821;puhkusel,juhul;0.13321596244131456;0.027386541471048513
minema;;ad;640;149;5034;vahel;789;;0.12713547874453715;0.029598728645212555
kuuluma;;all;841;107;4891;vahel;948;;0.17194847679411163;0.021876916785933346
tekkima;;ad;710;109;4516;alati;819;mul,tal;0.15721877767936226;0.024136403897254206
pakkuma;;all;1016;113;4235;vahel;1129;;0.23990554899645808;0.02668240850059032
puuduma;;ad;666;137;3983;vahel;803;;0.1672106452422797;0.034396183781069546
õnnestuma;;ad;785;77;3835;alati;862;;0.2046936114732725;0.020078226857887876
ütlema;;all;797;60;3464;alati;857;mulle;0.23008083140877597;0.017321016166281754
tooma;;all;627;146;3224;vahel;773;direktorile;0.1944789081885856;0.04528535980148883
saatma;;all;598;108;3062;vahel;706;;0.1952971913781842;0.03527106466361855
meeldima;;all;784;42;2750;alati;826;mulle;0.2850909090909091;0.015272727272727273
küsima;;abl;795;43;2681;alati;838;;0.29653114509511375;0.016038791495710556
maksma;;all;676;76;2495;vahel;752;;0.2709418837675351;0.030460921843687375
nõudma;;abl;646;65;2442;alati;711;mult;0.26453726453726456;0.02661752661752662
