root_word,root_cnt,elus_cnt,mitte_elus_cnt
  ,5,0,0
 %p2tu ,1,0,0
 %reimo ,1,0,0
 /O  ,2,0,0
 /P ,1,0,0
 /font ,1,0,0
 /grin ,1,0,0
 @BLVtydrik ,1,0,0
 @ElavLegend ,1,0,0
 @LittleDevil ,2,0,0
 @Matrix ,1,0,0
 @ants ,2,0,0
 @nurren ,1,0,0
 @s6m ,2,0,0
 ALCapone ,4,0,0
 Alaska18 ,4,0,0
 Antony ,2,0,0
 Ashley ,1,0,0
 BUSTA ,1,0,0
 BlackEye ,1,0,0
 Blade2 ,1,0,0
 Bob-Dylan ,1,0,0
 Cooljam ,1,0,0
 Cout-18 ,1,0,0
 Echo ,1,0,0
 Enter ,1,0,0
 FreeMan25trt ,1,0,0
 G-MAN ,1,0,0
 Hanna,1,0,0
 High-Q ,1,0,0
 HoochiMama ,1,0,0
 JeyLo ,2,0,0
 Kaz ,1,0,0
 KessukasN ,2,0,0
 Knight17- ,2,0,0
 Liaa ,3,0,0
 LibeTropp ,1,0,0
 LordRim ,1,0,0
 Mannu ,1,0,0
 Marelle ,1,0,0
 Monsaa ,5,0,0
 Naine31 ,1,0,0
 Neiu86 ,1,0,0
 O  ,1,0,0
 Ragnar ,1,0,0
 Rullnoxgirl ,1,0,0
 STRONG ,1,0,0
 SURM ,1,0,0
 Sexyboy053962449 ,1,0,0
 Shad ,1,0,0
 Shania-Jennifer ,1,0,0
 SpeaKer ,1,0,0
 Spook ,1,0,0
 TKOGluurel ,1,0,0
 Tom23 ,1,0,0
 TuumaEnn ,1,0,0
 Tydruk ,1,0,0
 User91834 ,1,0,0
 Veigo ,2,0,0
 [Linda ,1,0,0
 ^^ ,1,0,0
 adinnn ,1,0,0
 ajuvant ,1,0,0
 alcalpino ,1,0,0
 avx ,1,0,0
 badboys ,1,0,0
 batgirl ,2,0,0
 blondy18 ,1,0,0
 breikar ,1,0,0
 citty ,2,0,0
 coolman ,1,0,0
 deemonike ,1,0,0
 def ,1,0,0
 dim ,1,0,0
 djcrule ,1,0,0
 eva ,1,0,0
 ezkimo ,2,0,0
 furuk ,1,0,0
 heiki13a ,1,0,0
 hhjkhhk ,1,0,0
 hotplix ,1,0,0
 i hate go to school ,1,0,0
 ilusneiu ,1,0,0
 inz77 ,1,0,0
 irw selle koha peal ,1,0,0
 janno19 ,1,0,0
 jasmiin ,1,0,0
 jenny ,1,0,0
 jim ,1,0,0
 jonsson ,1,0,0
 kaups ,1,0,0
 kiisu15eml1h ,1,0,0
 kiisuke ,1,0,0
 kiksti ,1,0,0
 kino ,3,0,0
 kobra ,1,0,0
 kristot ,2,0,0
 kutt21 ,2,0,0
 liisa ,1,0,0
 liisbeth ,1,0,0
 liisu13 ,1,0,0
 lissu22 ,1,0,0
 lolli ,1,0,0
 lopsti ,1,0,0
 mabeligirl ,1,0,0
 maffia ,1,0,0
 maiku ,2,0,0
 marco ,3,0,0
 marko381 ,1,0,0
 matu ,1,0,0
 max23 ,1,0,0
 meez31tln ,3,0,0
 megaman ,1,0,0
 memph ,1,0,0
 miga ,1,0,0
 millu ,2,0,0
 mp ,1,0,0
 musi ,2,0,0
 naga ,1,0,0
 neeger ,1,0,0
 nettu ,1,0,0
 noel ,1,0,0
 nurren ,1,0,0
 orhideelaps ,1,0,0
 p2tt ,2,0,0
 piiplz ,1,0,0
 plika ,1,0,0
 plikxs ,1,0,0
 poiss ,1,0,0
 putin ,1,0,0
 rdo ,1,0,0
 re ,3,0,0
 rebecca ,1,0,0
 rebis ,2,0,0
 reimo ,1,0,0
 rex0551 ,1,0,0
 s ,2,0,0
 sarcasm ,1,0,0
 savu ,1,0,0
 scoop ,1,0,0
 sessa ,1,0,0
 sid,3,0,0
 siimuke16 ,1,0,0
 sillu11 ,1,0,0
 simso ,1,0,0
 soldier ,2,0,0
 staff ,1,0,0
 stimpy ,1,0,0
 sulo ,2,0,0
 telekas ,1,0,0
 tints ,1,0,0
 tomm ,1,0,0
 urmas ,1,0,0
 zet ,1,0,0
 zorro ,1,0,0
 zuuzie ,1,0,0
!!!,1,0,0
!!!!,2,0,0
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,0,0
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,0,0
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,0,0
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,0,0
#,1299,0,0
$,321,0,1
$-esi,1,0,0
$1,2,0,1
%,32,0,4
%-endine,1,0,0
%-ilis,1,0,1
%-liss,1,0,0
%-põhimõte,1,0,1
%-see,3,0,2
%-sele,1,0,0
%line,54,8,34
*,16,0,0
+,59,0,0
+-255,1,0,0
---,16,0,0
----,2,0,0
-----,2,0,0
-------,3,0,0
"-0,05%",1,0,0
"-0,1%",1,0,0
"-0,18%",1,0,0
"-0,5",1,0,0
"-0,5%",1,0,0
"-0,54%",1,0,0
"-0,75",1,0,0
-0.08,2,0,0
-0.17%,2,0,0
-0.23%,1,0,0
-0.34%,2,0,0
-0.36%,1,0,0
-0.44%,1,0,0
-0.45%,1,0,0
-0.5,1,0,0
-0.54%,1,0,0
-0.67%,1,0,0
-0.71%,1,0,0
-0.77%,1,0,0
-0.86%,1,0,0
-0.89%,1,0,0
-0.90%,1,0,0
-0.91%,1,0,0
-0.92%,1,0,0
-09006000,1,0,0
-09006100,1,0,0
-1,10,0,0
-1%,2,0,0
"-1,23",1,0,0
"-1,70",1,0,0
-1.,9,0,0
-1.07%,1,0,0
-1.09%,1,0,0
-1.17%,1,0,0
-1.18%,1,0,0
-1.20%,1,0,0
-1.32%,1,0,0
-1.33%,1,0,0
-1.41%,1,0,0
-1.52%,2,0,0
-1.54%,1,0,0
-1.61%,1,0,0
-1.85%,1,0,0
-10,2,0,0
-10.,2,0,0
-100,1,0,0
-1000,1,0,0
-10C,1,0,0
-10aastane,1,0,0
-11,1,0,0
-11.,3,0,0
-11.76%,1,0,0
-1147,1,0,0
-12,1,0,0
-12.5%,1,0,0
-1230.,1,0,0
"-13,3",1,0,0
"-1335,95",1,0,0
-15,3,0,0
-150.,1,0,0
-1534,1,0,0
-1556,1,0,0
-1773,1,0,0
-18.,2,0,0
-1815,1,0,0
-183,1,0,0
-19,1,0,0
-1909,2,0,0
-1911,1,0,0
-1924,1,0,0
-1946.,1,0,0
-1950,1,0,0
-1951,1,0,0
-1954,1,0,0
-1956,1,0,0
-1968,1,0,0
-1969,2,0,0
-1972,1,0,0
-1973,1,0,0
-1975,1,0,0
-1980s,1,0,0
-1981,1,0,0
-1994,1,0,0
-1998,1,0,0
-1h,1,0,0
-2,10,0,0
-2%,12,0,0
"-2,5%",1,0,0
-2.,6,0,0
