verb,verb_compound,advmod_count,verb_count,relative_diff,absolute_diff
ajama,närvi,2,2,0,0
debattima,,2,2,0,0
luiskama,ette,1,1,0,0
soolama,üle,9,11,18.181818181818183,2
talitama,,1044,1337,21.914734480179508,293
käituma,,7905,11023,28.286310441803504,3118
käima,ümber,212,300,29.333333333333332,88
võtma,käsile,135,202,33.16831683168317,67
olema,jännis,2,3,33.33333333333333,1
valima,ümber,2,3,33.33333333333333,1
mõjuma,,29520,44632,33.85911453665532,15112
suhtuma,,9072,13881,34.64447806354009,4809
nohistama,,20,31,35.483870967741936,11
valmistuma,ette,97,152,36.18421052631579,55
sünkroniseeruma,,5,8,37.5,3
ristima,ümber,8,13,38.46153846153847,5
sarnastuma,,8,13,38.46153846153847,5
minema,järgi,14,23,39.130434782608695,9
korreleeruma,,126,209,39.71291866028708,83
elatuma,ära,6,10,40,4
helistama,üle,12,20,40,8
klobistama,,6,10,40,4
lippama,läbi,12,20,40,8
klappima,kokku,91,155,41.29032258064516,64
harjuma,ära,460,803,42.71481942714819,343
mõtlema,läbi,307,537,42.83054003724395,230
armuma,ära,48,84,42.857142857142854,36
saama,tuupi,8,14,42.857142857142854,6
pabistama,,469,824,43.082524271844655,355
saama,läbi,7492,13194,43.21661361224799,5702
väsitama,ära,129,229,43.66812227074236,100
hiilima,ära,18,32,43.75,14
hõõruma,sisse,18,32,43.75,14
peenutsema,,9,16,43.75,7
trehvama,kokku,18,32,43.75,14
jõudma,edasi,238,430,44.651162790697676,192
vaatama,alla,206,374,44.919786096256686,168
kohkuma,ära,45,82,45.1219512195122,37
lahmima,,136,248,45.16129032258064,112
rääkima,mööda,76,139,45.32374100719424,63
pookima,külge,14,26,46.15384615384615,12
vehklema,,209,389,46.27249357326478,180
kisklema,,46,86,46.51162790697674,40
lävima,,168,315,46.666666666666664,147
joppama,,63,119,47.05882352941176,56
tülitsema,,830,1572,47.20101781170484,742
kohanema,,1456,2758,47.20812182741117,1302
väänama,ära,20,38,47.368421052631575,18
kirjeldama,ära,11,21,47.61904761904761,10
lendama,mööda,114,219,47.94520547945205,105
haarduma,,26,50,48,24
mõtlema,järele,434,835,48.02395209580838,401
üllatuma,,1523,2936,48.1267029972752,1413
libisema,üle,46,89,48.31460674157304,43
närveerima,,186,361,48.476454293628805,175
tasustama,,22,43,48.837209302325576,21
trehvama,,860,1684,48.9311163895487,824
hakkama,pihta,928,1823,49.09489851892485,895
käsitsema,,32,63,49.2063492063492,31
kuluma,ära,1294,2555,49.354207436399214,1261
minema,alla,498,992,49.79838709677419,494
ajama,jalule,1,2,50,1
briifima,,6,12,50,6
hurmuma,,2,4,50,2
innustama,tagant,6,12,50,6
interakteeruma,,4,8,50,4
jääma,külge,273,546,50,273
jõllitama,otsa,16,32,50,16
kuhjama,üle,4,8,50,4
muganema,,6,12,50,6
määrima,sisse,12,24,50,12
nomineerima,,1,2,50,1
nämmutama,läbi,1,2,50,1
nõudlema,,13,26,50,13
ostma,üle,10,20,50,10
prahvama,,1,2,50,1
resoneerima,,15,30,50,15
sarnlema,,2,4,50,2
distantseeruma,,150,302,50.331125827814574,152
pingutama,üle,376,760,50.526315789473685,384
hüppama,läbi,82,166,50.602409638554214,84
pakkuma,üle,218,442,50.678733031674206,224
ajama,läbi,179,365,50.95890410958904,186
saama,pihta,946,1939,51.21196493037649,993
saama,lahti,1710,3507,51.24037639007699,1797
kohtama,,3883,7974,51.30423877602207,4091
käima,vastu,73,150,51.33333333333333,77
ütlema,ära,2384,4906,51.406441092539744,2522
haakuma,,965,1986,51.40986908358509,1021
leiduma,,10059,20796,51.630121177149455,10737
pidama,vastu,3747,7757,51.69524300631687,4010
suhtlema,,3453,7151,51.713047126276045,3698
hindama,üle,182,377,51.724137931034484,195
lööma,läbi,960,1990,51.75879396984925,1030
lõhnama,,765,1589,51.85651353052234,824
otsima,edasi,49,102,51.9607843137255,53
sobitama,kokku,46,96,52.083333333333336,50
reageerima,,9492,19815,52.096896290688875,10323
puutuma,kokku,2398,5008,52.116613418530356,2610
vedama,välja,485,1016,52.26377952755905,531
hakkama,peale,749,1570,52.29299363057325,821
taipama,,2401,5053,52.48367306550564,2652
sümpatiseerima,,258,544,52.57352941176471,286
saama,villand,164,346,52.601156069364166,182
kõndima,mööda,116,245,52.6530612244898,129
hoiatama,ette,158,334,52.69461077844312,176
kõlbama,,9021,19137,52.86094999216178,10116
haukuma,,654,1388,52.88184438040345,734
kiinduma,,178,378,52.910052910052904,200
isutama,,16,34,52.94117647058824,18
elama,ära,1016,2164,53.04990757855823,1148
olema,üle,220,469,53.09168443496801,249
jõudma,välja,2396,5124,53.23965651834504,2728
saama,ligi,193,414,53.3816425120773,221
astuma,läbi,696,1496,53.475935828877006,800
imponeerima,,250,538,53.53159851301115,288
leierdama,,13,28,53.57142857142857,15
tegutsema,vastu,13,28,53.57142857142857,15
saama,kõrini,50,108,53.70370370370371,58
diskuteerima,,96,208,53.84615384615385,112
jalutama,läbi,108,234,53.84615384615385,126
